rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,132774.9,-23498.3,Consumer Cyclical
2,Exxon Mobil,103547.0,4770.0,Energy
3,Ford Motor,100785.6,-7385.0,Consumer Cyclical
4,Intl. Business Machines,65096.0,-4965.0,Technology
5,General Electric,62202.0,4725.0,Industrials
6,Mobil,57389.0,862.0,Energy
7,Altria Group,50157.0,4939.0,Consumer Defensive
8,ChevronTexaco,38523.0,1569.0,Energy
9,DuPont,37386.0,-3927.0,Basic Materials
10,Texaco,37130.0,712.0,Energy
11,Chrysler,36897.0,723.0,Consumer Cyclical
12,Boeing,30414.0,552.0,Industrials
13,Procter & Gamble,29890.0,1872.0,Consumer Defensive
14,Amoco,25543.0,-74.0,Energy
15,PepsiCo,22083.7,374.3,Consumer Defensive
16,United Technologies,22032.0,-287.0,Industrials
17,ConAgra Foods,21219.0,372.4,Consumer Defensive
18,Shell Oil,21160.0,-190.0,Energy
19,Eastman Kodak,20577.0,1146.0,Industrials
20,Dow Chemical,19080.0,-489.0,Basic Materials
21,Xerox,18089.0,-1020.0,Technology
22,Atlantic Richfield,18061.0,801.0,Energy
23,McDonnell Douglas,17513.0,-781.0,Industrials
24,Hewlett-Packard,16427.0,549.0,Technology
25,Marathon Oil,16186.0,-1826.0,Energy
26,Nabisco Group Holdings,15734.0,299.0,Consumer Defensive
27,Digital Equipment,14027.0,-2795.5,Technology
28,3M,13883.0,1233.0,Industrials
29,Johnson & Johnson,13846.0,1030.0,Healthcare
30,Tenneco Automotive,13606.0,-1323.0,Consumer Cyclical
31,International Paper,13600.0,86.0,Consumer Cyclical
32,Motorola,13341.0,453.0,Technology
33,Sara Lee,13321.0,761.0,Consumer Defensive
34,Coca-Cola,13238.0,1664.0,Consumer Defensive
35,CBS,12100.0,-1291.0,Communication Services
36,Honeywell Intl.,12089.0,-712.0,Industrials
37,ConocoPhillips,12037.0,180.0,Energy
38,Goodyear Tire & Rubber,11923.6,-658.6,Consumer Cyclical
39,Georgia-Pacific,11847.0,-124.0,Basic Materials
40,Bristol-Myers Squibb,11805.0,1962.0,Healthcare
41,Anheuser-Busch,11400.8,917.5,Consumer Defensive
42,IBP,11129.7,63.6,Consumer Defensive
43,Rockwell Automation,10995.1,-1036.0,Industrials
44,Caterpillar,10194.0,-2435.0,Industrials
45,Lockheed Martin,10138.0,-283.0,Industrials
46,Coastal,10062.9,-126.8,Financial Services
47,Merck,9800.8,1984.2,Healthcare
48,Ashland,9595.8,-335.7,Basic Materials
49,Alcoa,9588.4,-1139.2,Basic Materials
50,Archer Daniels Midland,9344.1,503.8,Consumer Defensive
51,Weyerhaeuser,9259.9,372.0,Real Estate
52,Unilever U.S.,9216.8,260.5,Consumer Defensive
53,Citgo Petroleum,9173.5,33.2,Energy
54,Raytheon,9118.9,635.1,Industrials
55,Unocal,8948.0,220.0,Energy
