rank,company,revenue ($ millions),profit ($ millions),Sector
1,Exxon Mobil,210392.0,17720.0,Energy
2,Wal-Mart Stores,193295.0,6295.0,Consumer Defensive
3,General Motors,184632.0,4452.0,Consumer Cyclical
4,Ford Motor,180598.0,3467.0,Consumer Cyclical
5,General Electric,129853.0,12735.0,Industrials
6,Citigroup,111826.0,13519.0,Financial Services
7,Enron,100789.0,979.0,Energy
8,Intl. Business Machines,88396.0,8093.0,Technology
9,AT&T,65981.0,4669.0,Communication Services
10,Verizon Communications,64707.0,11797.0,Communication Services
11,Altria Group,63276.0,8510.0,Consumer Defensive
12,Chase Manhattan Corp.,60065.0,5727.0,Financial Services
13,Bank of America Corp.,57747.0,7517.0,Financial Services
14,SBC Communications,51476.0,7967.0,Communication Services
15,Boeing,51321.0,2128.0,Industrials
16,Texaco,51130.0,2542.0,Energy
17,Duke Energy,49318.0,1776.0,Utilities
18,Kroger,49000.4,876.9,Consumer Defensive
19,Hewlett-Packard,48782.0,3697.0,Technology
20,ChevronTexaco,48069.0,5185.0,Energy
21,State Farm Insurance Cos,47863.1,408.1,Financial Services
22,American Intl. Group,45972.0,5636.1,Financial Services
23,Home Depot,45738.0,2581.0,Consumer Cyclical
24,Morgan Stanley,45413.0,5456.0,Financial Services
25,Merrill Lynch,44872.0,3784.0,Financial Services
26,Fannie Mae,44088.9,4447.6,Financial Services
27,Compaq Computer,42383.0,569.0,Technology
28,Lucent Technologies,41420.0,1219.0,Technology
29,Sears Roebuck,40937.0,1343.0,Consumer Cyclical
30,Merck,40363.2,6821.7,Healthcare
31,Procter & Gamble,39951.0,3542.0,Consumer Defensive
32,MCI WorldCom,39090.0,4153.0,Financial Services
33,TIAA-CREF,38063.5,1222.0,Financial Services
34,Motorola,37580.0,1318.0,Technology
35,McKesson,37100.5,723.7,Healthcare
36,Kmart Holding,37028.0,-244.0,Consumer Cyclical
37,Target,36903.0,1264.0,Consumer Defensive
38,Albertson's,36762.0,765.0,Consumer Defensive
39,Marathon Oil,35570.0,411.0,Energy
40,Berkshire Hathaway,33976.0,3328.0,Financial Services
41,Intel,33726.0,10535.0,Technology
42,Goldman Sachs Group,33000.0,3067.0,Financial Services
43,J.C. Penney,32965.0,-705.0,Consumer Cyclical
44,Conoco,32513.0,1902.0,Energy
45,Costco Wholesale,32164.3,631.4,Consumer Defensive
46,Safeway,31976.9,1091.9,Consumer Defensive
47,MetLife,31947.0,953.0,Financial Services
48,Dell,31888.0,2177.0,Technology
49,Ingram Micro,30715.1,226.2,Technology
50,Freddie Mac,30000.0,2547.0,Financial Services
51,Cardinal Health,29870.6,679.7,Healthcare
52,United Parcel Service,29771.0,2934.0,Industrials
53,Pfizer,29574.0,3726.0,Healthcare
54,Dynegy,29444.9,500.5,Utilities
55,CenterPoint Energy,29339.0,447.5,Utilities
56,DuPont,29202.0,2314.0,Basic Materials
57,Johnson & Johnson,29139.0,4800.0,Healthcare
57,Delphi,29139.0,1062.0,Consumer Cyclical
59,Allstate,29134.0,2211.0,Financial Services
60,Aquila,28974.9,206.8,Energy
61,International Paper,28180.0,142.0,Consumer Cyclical
62,Wells Fargo,27568.0,4026.0,Financial Services
63,Aetna,26818.9,127.1,Healthcare
64,United Technologies,26583.0,1808.0,Industrials
65,Lehman Brothers Hldgs.,26447.0,1775.0,Financial Services
66,BellSouth,26151.0,4220.0,Communication Services
67,Walt Disney,25402.0,920.0,Communication Services
68,ConAgra Foods,25385.8,413.0,Consumer Defensive
69,Lockheed Martin,25329.0,-519.0,Industrials
70,Bank One Corp.,25168.0,-511.0,Financial Services
71,Honeywell Intl.,25023.0,1659.0,Industrials
72,Tosco,24545.0,529.4,Energy
73,Wachovia Corp.,24246.0,92.0,Financial Services
74,American Express,23675.0,2810.0,Financial Services
75,Sprint,23613.0,93.0,Healthcare
76,Southern,23381.0,1313.0,Utilities
77,Alcoa,23090.0,1484.0,Basic Materials
78,Dow Chemical,23008.0,1513.0,Basic Materials
79,Microsoft,22956.0,9421.0,Technology
80,Prudential Financial,22759.9,189.3,Financial Services
81,FleetBoston Financial,22608.0,3420.0,Financial Services
82,PG&E Corp.,22483.0,161.0,Utilities
83,AutoNation,22330.8,329.9,Consumer Cyclical
84,Georgia-Pacific,22218.0,505.0,Basic Materials
85,TXU,22009.0,916.0,Utilities
86,El Paso,21950.0,652.0,Energy
87,New York Life Insurance,21450.4,1205.5,Financial Services
88,Bristol-Myers Squibb,21331.0,4711.0,Healthcare
89,ConocoPhillips,21227.0,1862.0,Energy
90,Walgreen,21206.9,776.9,Healthcare
91,UnitedHealth Group,21122.0,736.0,Healthcare
92,Loews,20669.9,1876.7,Financial Services
93,Coca-Cola,20458.0,2177.0,Consumer Defensive
94,PepsiCo,20438.0,2183.0,Consumer Defensive
95,Tech Data,20427.7,178.0,Technology
96,Sara Lee,20414.0,1222.0,Consumer Defensive
97,Supervalu,20339.1,242.9,Consumer Defensive
98,AMR,20245.0,813.0,Basic Materials
99,Caterpillar,20175.0,1053.0,Industrials
100,CVS,20087.5,746.0,Healthcare
101,Viacom,20043.7,-816.1,Communication Services
102,Cigna,19994.0,987.0,Healthcare
103,Bergen Brunswig,19599.4,-752.8,Healthcare
104,UAL,19352.0,50.0,Industrials
105,Sysco,19303.3,445.6,Consumer Defensive
106,Electronic Data Systems,19226.8,1143.3,Technology
107,Cisco Systems,18928.0,2688.0,Technology
108,Lowe's,18778.6,809.9,Consumer Cyclical
109,Xerox,18632.0,-384.0,Technology
110,Federated Dept. Stores,18407.0,-184.0,Consumer Cyclical
111,Raytheon,18321.0,141.0,Industrials
112,FedEx,18256.9,688.3,Industrials
113,Monsanto,18150.0,717.0,Basic Materials
114,TRW,17231.1,438.1,Industrials
115,Johnson Controls,17154.6,472.4,Industrials
116,Northwestern Mutual,16973.8,1828.8,Financial Services
117,IBP,16949.6,135.2,Consumer Defensive
118,3M,16724.0,1782.0,Industrials
119,Columbia/HCA Healthcare,16670.0,219.0,Healthcare
120,Qwest Communications,16610.0,-81.0,Communication Services
121,Liberty Mutual Ins. Group,16438.0,287.0,Financial Services
122,Weyerhaeuser,15980.0,840.0,Real Estate
123,Delta Air Lines,15888.0,1303.0,Industrials
124,Washington Mutual,15766.6,1898.6,Financial Services
125,Sun Microsystems,15721.0,1854.0,Technology
126,Emerson Electric,15544.8,1422.4,Industrials
127,Nationwide,14762.1,411.4,Financial Services
128,Coca-Cola Enterprises,14750.0,236.0,Consumer Defensive
129,Hartford Financial Services,14703.0,974.0,Financial Services
130,Rite Aid,14681.4,-1143.1,Healthcare
131,Valero Energy,14671.1,339.1,Energy
132,Publix Super Markets,14575.0,530.4,Consumer Defensive
133,Occidental Petroleum,14543.0,1570.0,Energy
134,May Dept. Stores,14511.0,858.0,Consumer Cyclical
135,Fleming,14443.8,-122.1,Consumer Defensive
136,Goodyear Tire & Rubber,14417.1,40.3,Consumer Cyclical
137,Ultramar Diamond Shamrock,14292.4,444.3,Energy
138,McDonald's,14243.0,1977.3,Consumer Cyclical
139,Solectron,14137.5,497.2,Technology
140,Lear,14072.8,274.7,Consumer Cyclical
141,Eastman Kodak,13994.0,1407.0,Industrials
142,Kimberly-Clark,13982.0,1800.6,Consumer Defensive
143,Wyeth,13809.5,-2370.7,Healthcare
144,Abbott Laboratories,13745.9,2786.0,Healthcare
145,Winn-Dixie Stores,13697.5,-228.9,Consumer Defensive
146,American Electric Power,13694.0,596.0,Utilities
147,Gap,13673.5,877.5,Consumer Cyclical
148,Halliburton,13344.0,501.0,Energy
149,Deere,13136.8,485.5,Industrials
150,Textron,13090.0,218.0,Industrials
151,Arrow Electronics,12959.2,357.9,Technology
152,Archer Daniels Midland,12876.8,300.9,Consumer Defensive
153,Dana,12691.0,334.0,Consumer Cyclical
154,Sunoco,12664.0,422.0,Energy
155,Circuit City Stores,12614.4,197.6,Consumer Cyclical
156,Best Buy,12494.0,347.1,Consumer Cyclical
157,Waste Management,12492.0,-97.0,Industrials
158,Amerada Hess,12277.0,1023.0,Energy
159,Anheuser-Busch,12261.8,1551.6,Consumer Defensive
160,Farmland Industries,12239.0,N.A.,Real Estate
161,Household International,11960.9,1700.7,Financial Services
162,Union Pacific,11878.0,842.0,Industrials
163,Texas Instruments,11875.0,3058.0,Technology
164,Edison International,11635.0,702.9,Utilities
165,AmerisourceBergen,11610.0,99.0,Healthcare
166,Xcel Energy,11591.8,526.8,Utilities
167,Office Depot,11569.7,49.3,Consumer Cyclical
168,Williams,11480.9,524.3,Energy
169,PacifiCare Health Sys.,11467.9,161.0,Healthcare
170,Northwest Airlines,11415.0,256.0,Industrials
171,Tenet Healthcare,11414.0,302.0,Healthcare
172,Toys `R` Us,11332.0,404.0,Consumer Cyclical
173,Mass. Mutual Life Ins.,11274.8,811.9,Financial Services
174,American General,11063.0,1003.0,Financial Services
175,Fluor,11056.0,123.9,Industrials
176,Eli Lilly,10862.2,3057.8,Healthcare
177,Manpower,10842.8,171.2,Industrials
178,Staples,10673.7,59.7,Consumer Defensive
179,Humana,10514.0,90.0,Healthcare
180,General Dynamics,10359.0,901.0,Industrials
181,Whirlpool,10325.0,367.0,Consumer Cyclical
182,Bear Stearns,10276.6,773.2,Financial Services
183,Marsh & McLennan,10157.0,1181.0,Financial Services
184,Oracle,10130.1,6296.8,Technology
185,Limited Brands,10104.6,427.9,Consumer Cyclical
186,Marriott International,10017.0,479.0,Consumer Cyclical
187,Entergy,10016.1,710.9,Utilities
188,Gillette,9986.0,392.0,Consumer Defensive
189,Illinois Tool Works,9983.6,958.0,Industrials
190,U.S. Bancorp,9965.5,1592.0,Financial Services
191,Continental Airlines,9899.0,342.0,Industrials
192,Schering-Plough,9815.0,2423.0,Healthcare
193,AFLAC,9720.0,687.0,Financial Services
194,Gateway,9600.6,241.5,Industrials
195,TJX,9579.0,538.1,Consumer Cyclical
196,Applied Materials,9564.4,2063.6,Technology
197,Consolidated Edison,9457.8,615.2,Utilities
198,UnumProvident,9446.9,564.2,Financial Services
199,H.J. Heinz,9407.9,890.6,Consumer Defensive
200,Computer Sciences,9370.7,402.9,Technology
201,Colgate-Palmolive,9357.9,1063.8,Consumer Defensive
202,US Airways Group,9269.0,-269.0,Industrials
203,Dominion Resources,9260.0,436.0,Utilities
204,WellPoint Health Networks,9229.0,342.3,Healthcare
205,Ingersoll-Rand,9220.0,669.4,Industrials
206,Burlington No. Santa Fe,9205.0,980.0,Industrials
207,Unocal,9202.0,760.0,Energy
208,Avnet,9172.2,145.1,Technology
209,Health Net,9076.6,163.6,Healthcare
210,National City Corp.,9050.8,1302.4,Financial Services
211,CMS Energy,8998.0,36.0,Utilities
212,Nike,8995.1,579.1,Consumer Cyclical
213,Eaton,8988.0,453.0,Industrials
214,Guardian Life of America,8967.6,563.2,Financial Services
215,Principal Financial,8884.9,620.2,Financial Services
216,EMC,8872.8,1782.1,Industrials
217,Smurfit-Stone Container,8839.0,225.0,Basic Materials
218,Dillard's,8818.0,-6.0,Consumer Cyclical
219,Wellpoint,8771.1,226.0,Healthcare
220,PPG Industries,8629.0,620.0,Basic Materials
221,SunTrust Banks,8619.0,1294.1,Financial Services
222,St. Paul Travelers Cos.,8607.6,993.5,Financial Services
223,CHS,8571.4,N.A.,Basic Materials
224,USAA,8551.0,668.8,Financial Services
225,CSX,8526.3,565.0,Industrials
226,KeyCorp,8471.0,1002.0,Financial Services
227,Navistar International,8451.0,159.0,Industrials
228,Cinergy,8422.0,399.5,Utilities
229,Genuine Parts,8369.9,385.3,Consumer Cyclical
230,SCI Systems,8342.6,196.7,Consumer Cyclical
231,Conseco,8296.4,-1191.2,Financial Services
232,Northrop Grumman,8287.0,608.0,Industrials
233,Comcast,8218.6,2021.5,Communication Services
234,Ashland,8190.0,70.0,Basic Materials
235,Reynolds American,8167.0,1827.0,Consumer Cyclical
236,Apple Computer,7983.0,786.0,Technology
237,Pepsi Bottling,7982.0,229.0,Consumer Defensive
238,Paccar,7919.4,441.8,Industrials
239,Avista,7911.5,91.7,Utilities
240,MBNA,7868.9,1312.5,Financial Services
241,OfficeMax,7806.7,178.6,Consumer Cyclical
242,PNC Financial Services,7623.0,1279.0,Financial Services
243,American Standard,7598.0,315.0,Industrials
244,John Hancock Financial Svcs.,7506.4,838.9,Financial Services
245,Exelon,7499.0,586.0,Utilities
246,Bank of New York Co.,7486.0,1429.0,Financial Services
247,Aon,7375.0,474.0,Financial Services
248,Micron Technology,7336.3,1504.2,Technology
249,Premcor,7301.7,89.7,Energy
250,Crown Holdings,7289.0,-174.0,Consumer Cyclical
251,Wachovia Corp.,7276.6,832.3,Financial Services
252,Corning,7273.1,422.0,Technology
253,Aramark,7262.9,168.0,Industrials
254,Chubb,7251.5,714.6,Financial Services
255,Masco,7243.0,591.7,Industrials
256,Rockwell Automation,7220.0,636.0,Industrials
257,Tyson Foods,7158.0,151.0,Consumer Defensive
258,Baxter International,7148.0,740.0,Healthcare
259,Sempra Energy,7143.0,429.0,Utilities
260,Charles Schwab,7139.5,718.1,Financial Services
261,NorthWestern,7132.0,49.6,Utilities
262,Safeco,7118.4,114.6,Financial Services
263,Yum Brands,7093.0,413.0,Consumer Cyclical
264,FPL Group,7082.0,704.0,Utilities
265,Alltel,7067.0,1928.8,Communication Services
266,FirstEnergy,7029.0,599.0,Utilities
267,Adams Resources & Engy.,7022.2,8.8,Energy
268,U.S. Bancorp,6997.8,1283.6,Financial Services
269,Kellogg,6954.7,587.7,Consumer Defensive
270,Newell Rubbermaid,6934.7,421.6,Consumer Defensive
271,America Online,6886.0,1232.0,Communication Services
272,Unisys,6885.0,225.0,Technology
273,Rohm & Haas,6879.0,354.0,Basic Materials
274,Lincoln National,6851.5,621.4,Financial Services
