rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,101782.0,3551.0,Consumer Cyclical
2,Exxon Mobil,76416.0,4840.0,Energy
3,Ford Motor,71643.0,4625.0,Consumer Cyclical
4,Intl. Business Machines,54217.0,5258.0,Technology
5,Mobil,51223.0,1258.0,Energy
6,General Electric,39315.0,2915.0,Industrials
7,Texaco,34372.0,-4407.0,Energy
8,AT&T,33598.0,2044.0,Communication Services
9,DuPont,30468.0,1786.0,Basic Materials
10,Chrysler,26258.0,1290.0,Consumer Cyclical
11,ChevronTexaco,26015.0,1007.0,Energy
12,Altria Group,22279.0,1842.0,Consumer Defensive
13,Shell Oil,20852.0,1230.0,Energy
14,Amoco,20174.0,1360.0,Energy
15,United Technologies,17170.0,592.0,Industrials
16,Occidental Petroleum,17096.0,240.0,Energy
17,Procter & Gamble,17000.0,327.0,Consumer Defensive
18,Atlantic Richfield,16281.0,1224.0,Energy
19,Nabisco Group Holdings,15868.0,1209.0,Consumer Defensive
20,Boeing,15355.0,480.0,Industrials
21,Tenneco Automotive,15075.0,-218.0,Consumer Cyclical
22,BP America,14611.0,564.0,Energy
23,Marathon Oil,13898.0,219.0,Energy
24,Dow Chemical,13377.0,1240.0,Basic Materials
25,Eastman Kodak,13305.0,1178.0,Industrials
26,McDonnell Douglas,13146.0,313.0,Industrials
27,Rockwell Automation,12123.0,635.0,Industrials
28,Honeywell Intl.,11597.0,656.0,Industrials
29,PepsiCo,11500.0,595.0,Consumer Defensive
30,Lockheed Martin,11370.0,421.0,Industrials
31,Kraft,11011.0,489.0,Consumer Defensive
32,ConocoPhillips,10721.0,35.0,Energy
33,CBS,10679.0,739.0,Communication Services
34,Xerox,10320.0,578.0,Technology
35,Goodyear Tire & Rubber,10123.0,771.0,Consumer Cyclical
36,Unisys,9713.0,578.0,Technology
37,3M,9429.0,918.0,Industrials
38,Digital Equipment,9389.0,1137.0,Technology
39,General Dynamics,9344.0,437.0,Industrials
40,Sara Lee,9155.0,267.0,Consumer Defensive
41,ConAgra Foods,9002.0,149.0,Consumer Defensive
42,Beatrice,8926.0,N.A.,Consumer Defensive
43,Sunoco,8691.0,348.0,Energy
44,Georgia-Pacific,8603.0,458.0,Basic Materials
45,ITT Industries,8551.0,1018.0,Industrials
46,Unocal,8466.0,181.0,Energy
47,Anheuser-Busch,8258.0,615.0,Consumer Defensive
48,Caterpillar,8180.0,350.0,Industrials
