rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,102813.7,2944.7,Consumer Cyclical
2,Exxon Mobil,69888.0,5360.0,Energy
3,Ford Motor,62715.8,3285.1,Consumer Cyclical
4,Intl. Business Machines,51250.0,4789.0,Technology
5,Mobil,44866.0,1407.0,Energy
6,General Electric,35211.0,2492.0,Industrials
7,AT&T,34087.0,139.0,Communication Services
8,Texaco,31613.0,725.0,Energy
9,DuPont,27148.0,1538.0,Basic Materials
10,ChevronTexaco,24351.0,715.0,Energy
11,Chrysler,22513.5,1403.6,Consumer Cyclical
12,Altria Group,20681.0,1478.0,Consumer Defensive
13,Amoco,18281.0,747.0,Energy
14,Nabisco Group Holdings,16998.0,1064.0,Consumer Defensive
15,Shell Oil,16833.0,883.0,Energy
16,Boeing,16341.0,665.0,Industrials
17,United Technologies,15669.2,72.7,Industrials
18,Procter & Gamble,15439.0,709.0,Consumer Defensive
19,Occidental Petroleum,15344.1,181.1,Energy
20,Atlantic Richfield,14585.8,615.1,Energy
21,Tenneco Automotive,14558.0,-39.0,Consumer Cyclical
22,Marathon Oil,14000.0,-1833.0,Energy
23,McDonnell Douglas,12660.6,277.5,Industrials
24,Rockwell Automation,12295.7,611.2,Industrials
25,Honeywell Intl.,11794.0,605.0,Industrials
26,Eastman Kodak,11550.0,374.0,Industrials
27,Dow Chemical,11113.0,732.0,Basic Materials
28,CBS,10731.0,670.8,Communication Services
29,Goodyear Tire & Rubber,10327.7,124.1,Consumer Cyclical
30,Lockheed Martin,10273.0,408.0,Industrials
31,ConocoPhillips,9786.0,228.0,Energy
32,Xerox,9377.0,465.0,Technology
33,Sunoco,9376.0,385.0,Energy
34,PepsiCo,9290.8,457.5,Consumer Defensive
35,BP America,9219.0,-345.0,Energy
36,General Dynamics,9211.4,-52.5,Industrials
37,Kraft,8742.2,413.2,Consumer Defensive
38,Coca-Cola,8668.6,934.3,Consumer Defensive
39,3M,8602.0,779.0,Industrials
40,Sara Lee,7937.7,223.5,Consumer Defensive
41,ITT Industries,7895.5,493.7,Industrials
42,Union Carbide,7828.0,496.0,Basic Materials
43,Anheuser-Busch,7677.2,518.0,Consumer Defensive
44,Digital Equipment,7590.4,617.4,Technology
45,Unocal,7482.0,176.0,Energy
46,Unisys,7432.4,-43.4,Technology
