rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,133621.9,2465.8,Consumer Cyclical
2,Ford Motor,108521.0,2529.0,Consumer Cyclical
3,Exxon Mobil,97825.0,5280.0,Energy
4,Intl. Business Machines,62716.0,-8101.0,Technology
5,General Electric,60823.0,4315.0,Industrials
6,Mobil,56576.0,2084.0,Energy
7,Altria Group,50621.0,3091.0,Consumer Defensive
8,Chrysler,43600.0,-2551.0,Consumer Cyclical
9,Texaco,34359.0,1068.0,Energy
10,DuPont,32621.0,555.0,Basic Materials
11,ChevronTexaco,32123.0,1265.0,Energy
12,Procter & Gamble,30433.0,-656.0,Consumer Defensive
13,Amoco,25336.0,1820.0,Energy
14,Boeing,25285.0,1244.0,Industrials
15,PepsiCo,25020.7,1587.9,Consumer Defensive
16,ConAgra Foods,21519.1,270.3,Consumer Defensive
17,Shell Oil,20853.0,781.0,Energy
18,United Technologies,20736.0,487.0,Industrials
19,Hewlett-Packard,20317.0,1177.0,Technology
20,Eastman Kodak,20059.0,-1515.0,Industrials
21,Dow Chemical,18060.0,644.0,Basic Materials
22,Atlantic Richfield,17189.0,269.0,Energy
23,Motorola,16963.0,1022.0,Technology
24,Marathon Oil,16844.0,-259.0,Energy
25,Nabisco Group Holdings,15104.0,-145.0,Consumer Defensive
26,Xerox,14981.0,-126.0,Technology
27,Sara Lee,14580.0,704.0,Consumer Defensive
28,McDonnell Douglas,14487.0,396.0,Industrials
29,Digital Equipment,14371.4,-251.3,Technology
30,Johnson & Johnson,14138.0,1787.0,Healthcare
31,3M,14020.0,1263.0,Industrials
32,Coca-Cola,13957.0,2176.0,Consumer Defensive
33,International Paper,13685.0,289.0,Consumer Cyclical
34,Tenneco Automotive,13255.0,426.0,Consumer Cyclical
35,Lockheed Martin,13071.0,422.0,Industrials
36,Georgia-Pacific,12330.0,-34.0,Basic Materials
37,ConocoPhillips,12309.0,243.0,Energy
38,Honeywell Intl.,11827.0,411.0,Industrials
39,IBP,11671.4,90.1,Consumer Defensive
40,Goodyear Tire & Rubber,11643.4,387.8,Consumer Cyclical
41,Caterpillar,11615.0,652.0,Industrials
42,CBS,11564.0,-326.0,Communication Services
43,Anheuser-Busch,11505.3,594.5,Consumer Defensive
44,Bristol-Myers Squibb,11413.0,1959.0,Healthcare
45,Rockwell Automation,10840.0,561.9,Industrials
46,Merck,10498.2,2166.2,Healthcare
47,Coastal,10136.1,115.1,Financial Services
48,Archer Daniels Midland,9811.4,567.5,Consumer Defensive
49,Ashland,9553.9,142.2,Basic Materials
50,Weyerhaeuser,9544.8,579.3,Real Estate
51,Martin Marietta,9435.7,20.9,Basic Materials
52,Raytheon,9201.2,693.0,Industrials
53,Citgo Petroleum,9107.4,162.1,Energy
54,Alcoa,9055.9,4.8,Basic Materials
55,Baxter International,8879.0,-198.0,Healthcare
56,Intel,8782.0,2295.0,Technology
57,Textron,8668.5,379.1,Industrials
58,Texas Instruments,8523.0,472.0,Technology
59,Abbott Laboratories,8407.8,1399.1,Healthcare
60,Wyeth,8304.9,1469.3,Healthcare
61,Fortune Brands,8287.5,469.8,Industrials
62,Emerson Electric,8173.8,708.1,Industrials
63,General Mills,8134.6,506.1,Consumer Defensive
64,Occidental Petroleum,8116.0,283.0,Energy
65,Hanson Industries NA,8111.5,758.6,Industrials
66,Unocal,8077.0,213.0,Energy
67,Apple Computer,7977.0,86.6,Technology
68,TRW,7947.9,195.4,Industrials
