rank,company,revenue ($ millions),profit ($ millions),Sector
1,Wal-Mart Stores,408214.0,14335.0,Consumer Defensive
2,Exxon Mobil,284650.0,19280.0,Energy
3,Chevron,163527.0,10483.0,Energy
4,General Electric,156779.0,11025.0,Industrials
5,Bank of America Corp.,150450.0,6276.0,Financial Services
6,ConocoPhillips,139515.0,4858.0,Energy
7,AT&T,123018.0,12535.0,Communication Services
8,Ford Motor,118308.0,2717.0,Consumer Cyclical
9,J.P. Morgan Chase & Co.,115632.0,11728.0,Financial Services
10,Hewlett-Packard,114552.0,7660.0,Technology
11,Berkshire Hathaway,112493.0,8055.0,Financial Services
12,Citigroup,108785.0,-1606.0,Financial Services
13,Verizon Communications,107808.0,3651.0,Communication Services
14,McKesson,106632.0,823.0,Healthcare
15,General Motors,104589.0,N.A.,Consumer Cyclical
16,American International Group,103189.0,-10949.0,Financial Services
17,Cardinal Health,99612.9,1151.6,Healthcare
18,CVS Caremark,98729.0,3696.0,Healthcare
19,Wells Fargo,98636.0,12275.0,Financial Services
20,International Business Machines,95758.0,13425.0,Technology
21,UnitedHealth Group,87138.0,3822.0,Healthcare
22,Procter & Gamble,79697.0,13436.0,Consumer Defensive
23,Kroger,76733.2,70.0,Consumer Defensive
24,AmerisourceBergen,71789.0,503.4,Healthcare
25,Costco Wholesale,71422.0,1086.0,Consumer Defensive
26,Valero Energy,70035.0,-1982.0,Energy
27,Archer Daniels Midland,69207.0,1707.0,Consumer Defensive
28,Boeing,68281.0,1312.0,Industrials
29,Home Depot,66176.0,2661.0,Consumer Cyclical
30,Target,65357.0,2488.0,Consumer Defensive
31,WellPoint,65028.1,4745.9,Healthcare
32,Walgreen,63335.0,2006.0,Healthcare
33,Johnson & Johnson,61897.0,12266.0,Healthcare
34,State Farm Insurance Cos.,61479.6,766.7,Financial Services
35,Medco Health Solutions,59804.2,1280.3,Healthcare
36,Microsoft,58437.0,14569.0,Technology
37,United Technologies,52920.0,3829.0,Industrials
38,Dell,52902.0,1433.0,Technology
39,Goldman Sachs Group,51673.0,13385.0,Financial Services
40,Pfizer,50009.0,8635.0,Healthcare
41,Marathon Oil,49403.0,1463.0,Energy
42,Lowe's,47220.0,1783.0,Consumer Cyclical
43,United Parcel Service,45297.0,2152.0,Industrials
44,Lockheed Martin,45189.0,3024.0,Industrials
45,Best Buy,45015.0,1003.0,Consumer Cyclical
46,Dow Chemical,44945.0,648.0,Basic Materials
47,Supervalu,44564.0,-2855.0,Consumer Defensive
48,Sears Holdings,44043.0,235.0,Consumer Cyclical
49,International Assets Holding,43604.4,27.6,Financial Services
50,PepsiCo,43232.0,5946.0,Consumer Defensive
51,MetLife,41098.0,-2246.0,Financial Services
52,Safeway,40850.7,-1097.5,Consumer Defensive
53,Kraft Foods,40386.0,3021.0,Consumer Defensive
54,Freddie Mac,37614.0,-21553.0,Financial Services
55,Sysco,36853.3,1055.9,Consumer Defensive
56,Apple,36537.0,5704.0,Technology
57,Walt Disney,36149.0,3307.0,Communication Services
58,Cisco Systems,36117.0,6134.0,Technology
59,Comcast,35756.0,3638.0,Communication Services
60,FedEx,35497.0,98.0,Industrials
61,Northrop Grumman,35291.0,1686.0,Industrials
62,Intel,35127.0,4369.0,Technology
63,Aetna,34764.1,1276.5,Healthcare
64,New York Life Insurance,34014.3,682.7,Financial Services
65,Prudential Financial,32688.0,3124.0,Financial Services
66,Caterpillar,32396.0,895.0,Industrials
67,Sprint Nextel,32260.0,-2436.0,Communication Services
68,Allstate,32013.0,854.0,Financial Services
69,General Dynamics,31981.0,2394.0,Industrials
70,Morgan Stanley,31515.0,1346.0,Financial Services
71,Liberty Mutual Insurance Group,31094.0,1023.0,Financial Services
