rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,154951.2,4900.6,Consumer Cyclical
2,Ford Motor,128439.0,5308.0,Consumer Cyclical
3,Exxon Mobil,101459.0,5100.0,Energy
4,Wal-Mart Stores,83412.4,2681.0,Consumer Defensive
5,AT&T,75094.0,4676.0,Communication Services
6,General Electric,64687.0,4726.0,Industrials
7,Intl. Business Machines,64052.0,3021.0,Technology
8,Mobil,59621.0,1079.0,Energy
9,Sears Roebuck,54559.0,1454.0,Consumer Cyclical
10,Altria Group,53776.0,4725.0,Consumer Defensive
11,Chrysler,52224.0,3713.0,Consumer Cyclical
12,State Farm Insurance Cos,38850.1,-244.3,Financial Services
13,Prudential Ins. Co. of America,36945.7,-1175.0,Financial Services
14,DuPont,34968.0,2727.0,Basic Materials
15,Kmart Holding,34313.0,296.0,Consumer Cyclical
16,Texaco,33768.0,910.0,Energy
17,Citicorp,31650.0,3366.0,Financial Services
18,ChevronTexaco,31064.0,1693.0,Energy
19,Procter & Gamble,30296.0,2211.0,Consumer Defensive
20,PepsiCo,28472.4,1752.0,Consumer Defensive
21,Amoco,26953.0,1789.0,Energy
22,Hewlett-Packard,24991.0,1599.0,Technology
23,ITT Industries,23767.0,1022.0,Industrials
24,ConAgra Foods,23512.2,413.1,Consumer Defensive
25,Kroger,22959.1,242.2,Consumer Defensive
26,American Intl. Group,22385.7,2175.5,Financial Services
27,MetLife,22257.9,80.4,Financial Services
28,Motorola,22245.0,1560.0,Technology
29,Boeing,21924.0,856.0,Industrials
30,Target,21311.0,434.0,Consumer Defensive
31,United Technologies,21197.0,585.0,Industrials
32,J.C. Penney,21082.0,1057.0,Consumer Cyclical
33,Dow Chemical,20015.0,931.0,Basic Materials
34,GTE,19944.3,2444.6,Energy
35,United Parcel Service,19575.7,943.3,Industrials
36,Fannie Mae,18572.4,2131.6,Financial Services
37,Citigroup,18465.0,1326.0,Financial Services
38,Cigna,18392.0,554.0,Healthcare
39,American Stores,18355.1,345.2,Consumer Defensive
40,Merrill Lynch,18233.1,1016.8,Financial Services
41,Xerox,17837.0,794.0,Technology
42,Aetna,17524.7,467.5,Healthcare
43,Eastman Kodak,16862.0,557.0,Industrials
44,BellSouth,16844.5,2159.8,Communication Services
45,Marathon Oil,16799.0,501.0,Energy
46,BankAmerica Corp.,16531.0,2176.0,Financial Services
47,Costco Wholesale,16480.6,-112.4,Consumer Defensive
48,Coca-Cola,16172.0,2554.0,Consumer Defensive
49,AMR,16137.0,228.0,Basic Materials
50,Supervalu,15936.9,185.3,Consumer Defensive
51,Fleming,15753.5,56.2,Consumer Defensive
52,Johnson & Johnson,15734.0,2006.0,Healthcare
53,Atlantic Richfield,15682.0,919.0,Energy
54,Safeway,15626.6,239.7,Consumer Defensive
55,American Express,15593.0,1413.0,Financial Services
56,Sara Lee,15536.0,199.0,Consumer Defensive
57,Nabisco Group Holdings,15366.0,519.0,Consumer Defensive
58,3M,15079.0,1322.0,Industrials
59,Merck,14969.8,2997.0,Healthcare
60,International Paper,14966.0,357.0,Consumer Cyclical
61,Caterpillar,14328.0,955.0,Industrials
62,UAL,13950.0,51.0,Industrials
63,Verizon Communications,13791.4,-754.8,Communication Services
64,Loews,13515.2,267.8,Financial Services
65,Digital Equipment,13450.8,-2156.1,Technology
66,MCI Communications,13338.0,795.0,Financial Services
67,Nynex,13306.6,792.6,Communication Services
68,Tenneco Automotive,13222.0,396.0,Consumer Cyclical
69,McDonnell Douglas,13176.0,598.0,Industrials
70,Lockheed Martin,13130.0,445.0,Industrials
71,Bank of America Corp.,13126.0,1690.0,Financial Services
72,Honeywell Intl.,12817.0,759.0,Industrials
73,Georgia-Pacific,12738.0,310.0,Basic Materials
74,Chase Manhattan Corp.,12685.0,1294.0,Financial Services
75,Sprint,12661.8,888.2,Healthcare
76,Ameritech,12569.5,-1063.0,Communication Services
77,Home Depot,12476.7,604.5,Consumer Cyclical
78,McKesson,12428.2,136.2,Healthcare
79,ConocoPhillips,12367.0,484.0,Energy
80,Delta Air Lines,12359.0,-409.0,Industrials
81,Goodyear Tire & Rubber,12288.2,567.0,Consumer Cyclical
82,May Dept. Stores,12223.0,782.0,Consumer Cyclical
83,IBP,12075.4,182.3,Consumer Defensive
84,New York Life Insurance,12066.6,404.3,Financial Services
85,Anheuser-Busch,12053.8,1032.1,Consumer Defensive
86,Bristol-Myers Squibb,11983.6,1842.0,Healthcare
87,J.P. Morgan,11915.0,1215.0,Financial Services
88,Albertson's,11894.6,400.4,Consumer Defensive
89,SBC Communications,11618.5,1648.7,Communication Services
