rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,178174.0,6698.0,Consumer Cyclical
2,Ford Motor,153627.0,6920.0,Consumer Cyclical
3,Exxon Mobil,122379.0,8460.0,Energy
4,Wal-Mart Stores,119299.0,3526.0,Consumer Defensive
5,General Electric,90840.0,8203.0,Industrials
6,Intl. Business Machines,78508.0,6093.0,Technology
7,Chrysler,61147.0,2805.0,Consumer Cyclical
8,Mobil,59978.0,3272.0,Energy
9,Altria Group,56114.0,6310.0,Consumer Defensive
10,AT&T,53261.0,4638.0,Communication Services
11,Boeing,45800.0,-178.0,Industrials
12,Texaco,45187.0,2664.0,Energy
13,State Farm Insurance Cos,43957.0,3833.3,Financial Services
14,Hewlett-Packard,42895.0,3119.0,Technology
15,DuPont,41304.0,2405.0,Basic Materials
16,Sears Roebuck,41296.0,1188.0,Consumer Cyclical
17,Citigroup,37609.0,3104.0,Financial Services
18,Prudential Ins. Co. of America,37073.0,610.0,Financial Services
19,ChevronTexaco,36376.0,3256.0,Energy
20,Procter & Gamble,35764.0,3415.0,Consumer Defensive
21,Citicorp,34697.0,3591.0,Financial Services
22,Amoco,32836.0,2720.0,Energy
23,Kmart Holding,32183.0,249.0,Consumer Cyclical
24,Merrill Lynch,31731.0,1906.0,Financial Services
25,J.C. Penney,30546.0,566.0,Consumer Cyclical
26,American Intl. Group,30519.5,3332.3,Financial Services
27,Chase Manhattan Corp.,30381.0,3708.0,Financial Services
28,Verizon Communications,30193.9,2454.9,Communication Services
29,Motorola,29794.0,1180.0,Technology
30,TIAA-CREF,29348.4,1226.6,Financial Services
31,PepsiCo,29292.0,2142.0,Consumer Defensive
32,Lockheed Martin,28069.0,1300.0,Industrials
33,Fannie Mae,27776.9,3055.8,Financial Services
34,Target,27757.0,751.0,Consumer Defensive
35,Morgan Stanley,27132.0,2586.0,Financial Services
36,Kroger,26567.3,411.7,Consumer Defensive
37,Lucent Technologies,26360.0,541.0,Technology
38,Intel,25070.0,6945.0,Technology
39,Allstate,24949.0,3105.0,Financial Services
40,SBC Communications,24856.0,1474.0,Communication Services
41,United Technologies,24713.0,1072.0,Industrials
42,Compaq Computer,24584.0,1855.0,Technology
43,MetLife,24374.0,1203.0,Financial Services
44,Home Depot,24155.7,1160.0,Consumer Cyclical
45,ConAgra Foods,24002.1,615.0,Consumer Defensive
46,Merck,23636.9,4614.1,Healthcare
47,BankAmerica Corp.,23585.0,3210.0,Financial Services
48,GTE,23260.0,2793.6,Energy
49,Johnson & Johnson,22629.0,3303.0,Healthcare
50,Safeway,22483.8,557.4,Consumer Defensive
