rank,company,revenue ($ millions),profit ($ millions),Sector
1,Exxon Mobil,339938.0,36130.0,Energy
2,Wal-Mart Stores,315654.0,11231.0,Consumer Defensive
3,General Motors,192604.0,-10600.0,Consumer Cyclical
4,Chevron,189481.0,14099.0,Energy
5,Ford Motor,177210.0,2024.0,Consumer Cyclical
6,ConocoPhillips,166683.0,13529.0,Energy
7,General Electric,157153.0,16353.0,Industrials
8,Citigroup,131045.0,24589.0,Financial Services
9,American Intl. Group,108905.0,10477.0,Financial Services
10,Intl. Business Machines,91134.0,7934.0,Technology
11,Hewlett-Packard,86696.0,2398.0,Technology
12,Bank of America Corp.,83980.0,16465.0,Financial Services
13,Berkshire Hathaway,81663.0,8528.0,Financial Services
14,Home Depot,81511.0,5838.0,Consumer Cyclical
15,Valero Energy,81362.0,3590.0,Energy
16,McKesson,80514.6,-156.7,Healthcare
17,J.P. Morgan Chase & Co.,79902.0,8483.0,Financial Services
18,Verizon Communications,75111.9,7397.0,Communication Services
19,Cardinal Health,74915.1,1050.7,Healthcare
20,Altria Group,69148.0,10435.0,Consumer Defensive
21,Kroger,60552.9,958.0,Consumer Defensive
22,State Farm Insurance Cos,59223.9,3241.8,Financial Services
23,Marathon Oil,58958.0,3032.0,Energy
24,Procter & Gamble,56741.0,7257.0,Consumer Defensive
25,Dell,55908.0,3572.0,Technology
26,Boeing,54848.0,2572.0,Industrials
27,AmerisourceBergen,54589.6,264.6,Healthcare
28,Costco Wholesale,52935.2,1063.1,Consumer Defensive
29,Target,52620.0,2408.0,Consumer Defensive
30,Morgan Stanley,52498.0,4939.0,Financial Services
31,Pfizer,51353.0,8085.0,Healthcare
32,Johnson & Johnson,50514.0,10411.0,Healthcare
33,Sears Holdings,49124.0,858.0,Consumer Cyclical
34,Merrill Lynch,47783.0,5116.0,Financial Services
35,MetLife,46983.0,4714.0,Financial Services
36,Dow Chemical,46307.0,4515.0,Basic Materials
37,UnitedHealth Group,45365.0,3300.0,Healthcare
38,Wellpoint,45136.0,2463.8,Healthcare
39,AT&T,43862.0,4786.0,Communication Services
40,Time Warner,43652.0,2905.0,Communication Services
41,Goldman Sachs Group,43391.0,5626.0,Financial Services
