rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,125126.0,-1985.7,Consumer Cyclical
2,Exxon Mobil,105885.0,5010.0,Energy
3,Ford Motor,98274.7,860.1,Consumer Cyclical
4,Intl. Business Machines,69018.0,6020.0,Technology
5,Mobil,58770.0,1929.0,Energy
6,General Electric,58414.0,4303.0,Industrials
7,Altria Group,44323.0,3540.0,Consumer Defensive
8,Texaco,41235.0,1450.0,Energy
9,DuPont,39839.0,2310.0,Basic Materials
10,ChevronTexaco,39262.0,2157.0,Energy
11,Chrysler,30868.0,68.0,Consumer Cyclical
12,Amoco,28277.0,1913.0,Energy
13,Boeing,27595.0,1385.0,Industrials
14,Shell Oil,24423.0,1036.0,Energy
15,Procter & Gamble,24376.0,1602.0,Consumer Defensive
16,Occidental Petroleum,21947.0,-1695.0,Energy
17,United Technologies,21783.2,750.6,Industrials
18,Dow Chemical,20005.0,1384.0,Basic Materials
19,Marathon Oil,19462.0,818.0,Energy
20,Eastman Kodak,19075.0,703.0,Industrials
21,Atlantic Richfield,18819.0,2011.0,Energy
22,Xerox,18382.0,243.0,Technology
23,PepsiCo,17802.7,1076.9,Consumer Defensive
24,McDonnell Douglas,16351.0,306.0,Industrials
25,ConAgra Foods,15517.7,231.7,Consumer Defensive
26,Tenneco Automotive,14893.0,561.0,Consumer Cyclical
27,ConocoPhillips,13939.0,779.0,Energy
28,Nabisco Group Holdings,13879.0,-429.0,Consumer Defensive
29,Hewlett-Packard,13233.0,739.0,Technology
30,Digital Equipment,13084.5,74.4,Technology
31,3M,13021.0,1308.0,Industrials
32,International Paper,12960.0,569.0,Consumer Cyclical
33,CBS,12915.0,268.0,Communication Services
34,Georgia-Pacific,12665.0,365.0,Basic Materials
35,Rockwell Automation,12442.5,624.3,Industrials
36,Honeywell Intl.,12396.0,462.0,Industrials
37,Sunoco,11909.0,229.0,Energy
38,Sara Lee,11652.0,470.3,Consumer Defensive
39,Caterpillar,11540.0,210.0,Industrials
40,Goodyear Tire & Rubber,11453.1,-38.3,Consumer Cyclical
41,Johnson & Johnson,11232.0,1143.0,Healthcare
42,Motorola,10885.0,499.0,Technology
43,Alcoa,10865.1,295.2,Basic Materials
44,Anheuser-Busch,10750.6,842.4,Consumer Defensive
45,Unocal,10740.0,401.0,Energy
46,Bristol-Myers Squibb,10509.0,1748.0,Healthcare
47,Coca-Cola,10406.3,1381.9,Consumer Defensive
48,General Dynamics,10182.0,-578.0,Industrials
49,Unisys,10111.3,-436.7,Technology
50,Lockheed Martin,9977.0,335.0,Industrials
51,Coastal,9593.1,225.6,Financial Services
52,Raytheon,9362.3,557.3,Industrials
53,Monsanto,9047.0,546.0,Basic Materials
54,Weyerhaeuser,9024.3,393.7,Real Estate
55,Unilever U.S.,8680.1,3.9,Consumer Defensive
56,Ashland,8554.4,182.1,Basic Materials
57,Fortune Brands,8270.3,596.0,Industrials
58,TRW,8169.0,208.0,Industrials
59,Baxter International,8148.0,40.0,Healthcare
60,Textron,7917.6,283.0,Industrials
61,Archer Daniels Midland,7893.5,483.5,Consumer Defensive
62,Deere,7881.0,411.1,Industrials
63,Merck,7824.1,1781.2,Healthcare
64,Borden Chemical,7632.8,363.6,Basic Materials
65,Union Carbide,7621.0,308.0,Basic Materials
66,Emerson Electric,7573.4,613.2,Industrials
67,Ralston Purina,7133.2,396.3,Consumer Defensive
68,Amerada Hess,7081.1,482.7,Energy
69,Honeywell,6985.2,381.9,Industrials
70,Wyeth,6917.2,1230.6,Healthcare
71,Sealed Air,6774.7,202.8,Consumer Cyclical
72,Whirlpool,6647.0,72.0,Consumer Cyclical
73,Texas Instruments,6604.0,-39.0,Technology
74,Pfizer,6599.7,801.2,Healthcare
75,Hanson Industries NA,6558.3,456.4,Industrials
76,Lyondell Chemical,6508.0,356.0,Basic Materials
77,General Mills,6486.7,381.4,Consumer Defensive
78,Kimberly-Clark,6447.9,432.1,Consumer Defensive
79,NCR,6395.0,369.0,Technology
80,LTV,6229.3,70.9,Technology
81,Campbell Soup,6223.4,4.4,Consumer Defensive
82,Cooper Industries,6222.2,361.4,Healthcare
83,Abbott Laboratories,6210.3,965.8,Healthcare
84,Martin Marietta,6142.7,327.6,Basic Materials
85,North American Philips,6119.0,-645.7,Industrials
86,PPG Industries,6118.4,474.8,Basic Materials
87,H.J. Heinz,6112.4,504.5,Consumer Defensive
88,Reynolds Metals,6075.7,296.6,Consumer Cyclical
89,Bayer Corporation,5903.7,149.2,Healthcare
90,Hoechst Celanese,5881.0,201.0,Basic Materials
91,Bestfoods,5800.4,373.9,Consumer Defensive
92,Stone Container,5770.4,95.4,Basic Materials
93,Quaker Oats,5744.2,169.0,Consumer Defensive
94,Colgate-Palmolive,5740.2,321.0,Consumer Defensive
95,Apple Computer,5558.4,474.9,Technology
96,Northrop Grumman,5492.6,210.4,Industrials
97,Fort James,5422.7,78.2,Consumer Defensive
98,Scott Paper,5390.9,148.0,Consumer Defensive
99,BASF,5381.2,N.A.,Basic Materials
100,Litton Industries,5273.0,178.8,Industrials
101,Dana,5225.5,75.6,Consumer Cyclical
102,Kellogg,5199.2,502.8,Consumer Defensive
103,Eli Lilly,5191.6,1127.3,Healthcare
104,Champion International,5159.0,222.6,Basic Materials
105,Level 3 Communications,5092.0,80.0,Communication Services
106,Bethlehem Steel,4929.1,-463.5,Basic Materials
107,Black & Decker,4876.9,51.1,Industrials
108,American Cyanamid,4821.5,352.8,Basic Materials
109,Mead,4796.1,38.5,Consumer Defensive
110,Warner-Lambert,4769.1,484.9,Healthcare
111,Dresser Industries,4528.1,184.4,Industrials
112,Johnson Controls,4515.3,92.4,Industrials
113,Gillette,4394.0,367.9,Consumer Defensive
114,Chiquita Brands Intl.,4304.3,93.9,Consumer Defensive
115,Beatrice,4279.0,55.0,Consumer Defensive
116,Levi Strauss,4247.1,251.2,Consumer Cyclical
117,Whitman,4230.7,19.3,Consumer Defensive
118,OfficeMax,4189.5,75.3,Consumer Cyclical
119,Intel,4124.6,650.3,Technology
120,Eaton,4100.0,179.0,Industrials
121,Owens-Illinois,4070.6,-56.2,Consumer Cyclical
122,Grumman,4041.3,85.6,Industrials
123,Coca-Cola Enterprises,4040.6,93.4,Consumer Defensive
124,FINA,3979.0,125.5,Energy
125,Ryerson Tull,3870.4,-20.6,Basic Materials
126,Navistar International,3854.0,-11.0,Industrials
127,Tyson Foods,3827.2,120.0,Consumer Defensive
128,AMAX,3810.5,225.9,Basic Materials
129,Kerr-McGee,3799.0,150.0,Energy
130,Teledyne,3762.3,94.8,Technology
131,FMC,3754.8,155.3,Basic Materials
132,Ingersoll-Rand,3737.8,185.3,Industrials
133,American Standard,3649.3,-97.2,Industrials
134,Collins & Aikman,3649.0,233.9,Consumer Cyclical
135,Times Mirror,3633.2,180.5,Communication Services
136,Compaq Computer,3625.7,454.9,Technology
137,Agway,3607.9,N.A.,Consumer Cyclical
138,Avon Products,3508.8,195.3,Consumer Defensive
139,R.R. Donnelley & Sons,3497.9,225.8,Industrials
140,Cummins,3461.8,-137.7,Industrials
141,Gannett,3452.3,377.0,Communication Services
142,J.E. Seagram,3411.6,560.9,Consumer Defensive
143,Farmland Industries,3379.1,N.A.,Real Estate
144,Schering-Plough,3322.9,565.1,Healthcare
145,Pitney Bowes,3267.0,213.3,Industrials
146,Masco,3234.6,138.8,Industrials
147,Hercules,3219.6,96.0,Financial Services
148,Owens Corning,3111.0,73.0,Industrials
149,Harris,3098.5,130.7,Energy
150,Crown Holdings,3080.4,107.1,Consumer Cyclical
151,Maytag,3056.8,98.9,Consumer Cyclical
152,AMP,3043.6,287.1,Financial Services
153,Pharmacia,3032.7,455.7,Healthcare
154,Corning,2980.4,292.0,Technology
155,Rhone-Poulenc Rorer,2962.1,1.0,Healthcare
156,Engelhard,2942.2,70.3,Basic Materials
157,Smurfit-Stone Container,2912.6,21.8,Basic Materials
158,Air Products & Chem.,2910.0,229.9,Basic Materials
159,Union Camp,2839.7,229.6,Basic Materials
160,Rohm & Haas,2836.0,206.8,Basic Materials
161,Paccar,2817.7,63.7,Industrials
162,Universal,2815.1,45.1,Consumer Defensive
163,Premark International,2731.9,52.0,Industrials
164,Hershey Foods,2717.3,215.9,Consumer Defensive
165,Mapco,2708.0,130.0,Energy
166,Diamond Shamrock,2707.9,77.5,Energy
167,Hormel Foods,2681.2,77.1,Consumer Defensive
168,Phelps Dodge,2645.1,454.9,Basic Materials
169,Wang Laboratories,2634.7,-715.9,Technology
170,Berkshire Hathaway,2625.0,394.0,Financial Services
171,VF,2624.0,81.1,Consumer Cyclical
172,Quantum Chemical,2617.8,21.2,Basic Materials
173,Baker Hughes,2614.3,142.2,Energy
174,Olin,2614.0,84.0,Basic Materials
175,Avery Dennison,2590.2,5.9,Consumer Cyclical
176,Illinois Tool Works,2550.8,182.4,Industrials
177,Armstrong Holdings,2535.6,141.0,Industrials
178,Ethyl,2513.8,232.2,Basic Materials
179,Parker Hannifin,2512.3,111.5,Industrials
180,National Steel,2507.6,21.8,Basic Materials
181,Sun Microsystems,2480.7,111.2,Technology
182,PerkinElmer,2478.5,74.0,Healthcare
183,Brunswick,2477.6,70.9,Consumer Cyclical
184,Goodrich,2458.9,136.3,Industrials
185,Westvaco,2435.8,188.2,Basic Materials
186,Great American Mgmt. & Inv.,2435.4,47.6,Financial Services
187,Seagate Technology,2431.4,117.2,Technology
188,Land O'Lakes,2414.8,N.A.,Consumer Defensive
189,Temple-Inland,2401.2,232.5,Basic Materials
190,Maxxam,2390.9,161.9,Basic Materials
191,Tribune,2369.5,-63.5,Communication Services
192,Pennzoil,2366.4,93.8,Consumer Defensive
193,McDermott,2327.3,35.8,Industrials
194,Knight-Ridder,2312.7,149.0,Communication Services
195,Burlington Industries Equity,2290.5,-81.0,Consumer Cyclical
196,Sherwin-Williams,2281.8,122.7,Basic Materials
197,Manville,2272.2,110.7,Basic Materials
198,Sequa,2242.7,32.7,Industrials
199,Asarco,2241.7,149.1,Consumer Cyclical
200,Dover,2234.1,155.7,Industrials
201,Furniture Brands Intl.,2224.5,35.2,Consumer Cyclical
202,AMDAHL,2220.2,184.0,Technology
203,Tosco,2167.1,123.2,Energy
