rank,company,revenue ($ millions),profit ($ millions),Sector
1,Exxon Mobil,442851,45220,Energy
2,Wal-Mart Stores,405607,13400,Consumer Defensive
3,Chevron,263159,23931,Energy
4,ConocoPhillips,230764,-16998,Energy
5,General Electric,183207,17410,Industrials
6,General Motors,148979,-30860,Consumer Cyclical
7,Ford Motor,146277,-14672,Consumer Cyclical
8,AT&T,124028,12867,Communication Services
9,Hewlett-Packard,118364,8329,Technology
10,Valero Energy,118298,-1131,Energy
11,Bank of America Corp.,113106,4008,Financial Services
12,Citigroup,112372,-27684,Financial Services
13,Berkshire Hathaway,107786,4994,Financial Services
14,International Business Machines,103630,12334,Technology
15,McKesson,101703,990,Healthcare
16,J.P. Morgan Chase & Co.,101491,5605,Financial Services
17,Verizon Communications,97354,6428,Communication Services
18,Cardinal Health,91091.4,1300.6,Healthcare
19,CVS Caremark,87471.9,3212.1,Healthcare
20,Procter & Gamble,83503,12075,Consumer Defensive
21,UnitedHealth Group,81186,2977,Healthcare
22,Kroger,76000,1249.4,Consumer Defensive
23,Marathon Oil,73504,3528,Energy
24,Costco Wholesale,72483,1282.7,Consumer Defensive
25,Home Depot,71288,2260,Consumer Cyclical
26,AmerisourceBergen,70593.5,250.6,Healthcare
27,Archer Daniels Midland,69816,1802,Consumer Defensive
28,Target,64948,2214,Consumer Defensive
29,Johnson & Johnson,63747,12949,Healthcare
30,Morgan Stanley,62262,1707,Financial Services
31,State Farm Insurance Cos.,61343.4,-541.8,Financial Services
32,WellPoint,61251.1,2490.7,Healthcare
33,Dell,61101,2478,Technology
34,Boeing,60909,2672,Industrials
35,Microsoft,60420,17681,Technology
36,Walgreen,59034,2157,Healthcare
37,United Technologies,58681,4689,Industrials
38,Dow Chemical,57514,579,Basic Materials
39,MetLife,55085,3209,Financial Services
40,Goldman Sachs Group,53579,2322,Financial Services
41,Sunoco,51652,776,Energy
41,Wells Fargo,51652,2655,Financial Services
43,United Parcel Service,51486,3003,Industrials
44,Caterpillar,51324,3557,Industrials
45,Medco Health Solutions,51258,1102.9,Healthcare
46,Pfizer,48296,8104,Healthcare
47,Lowe's,48230,2195,Consumer Cyclical
48,Time Warner,46984,-13402,Communication Services
49,Sears Holdings,46770,53,Consumer Cyclical
50,Safeway,44104,965.3,Consumer Defensive
51,Supervalu,44048,593,Consumer Defensive
52,PepsiCo,43251,5142,Consumer Defensive
53,Kraft Foods,42867,2901,Consumer Defensive
54,Lockheed Martin,42731,3217,Industrials
55,Hess,41094,2360,Energy
56,Best Buy,40023,1407,Consumer Cyclical
57,Cisco Systems,39540,8052,Technology
58,Johnson Controls,38062,979,Industrials
59,FedEx,37953,1125,Industrials
60,Walt Disney,37843,4427,Communication Services
61,Intel,37586,5292,Technology
