rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,168369.0,4963.0,Consumer Cyclical
2,Ford Motor,146991.0,4446.0,Consumer Cyclical
3,Exxon Mobil,119434.0,7510.0,Energy
4,Wal-Mart Stores,106147.0,3056.0,Consumer Defensive
5,General Electric,79179.0,7280.0,Industrials
6,Intl. Business Machines,75947.0,5429.0,Technology
7,AT&T,74525.0,5908.0,Communication Services
8,Mobil,72267.0,2964.0,Energy
9,Chrysler,61397.0,3529.0,Consumer Cyclical
10,Altria Group,54553.0,6303.0,Consumer Defensive
11,Texaco,44561.0,2018.0,Energy
12,State Farm Insurance Cos,42781.2,2567.9,Financial Services
13,Prudential Ins. Co. of America,40175.0,1006.0,Financial Services
14,DuPont,39689.0,3636.0,Basic Materials
15,ChevronTexaco,38691.0,2607.0,Energy
16,Hewlett-Packard,38420.0,2586.0,Technology
17,Sears Roebuck,38236.0,1271.0,Consumer Cyclical
18,Procter & Gamble,35284.0,3046.0,Consumer Defensive
19,Amoco,32726.0,2834.0,Energy
20,Citicorp,32605.0,3788.0,Financial Services
21,PepsiCo,31645.0,1149.0,Consumer Defensive
22,Kmart Holding,31437.0,-220.0,Consumer Cyclical
23,American Intl. Group,28205.3,2897.3,Financial Services
24,Motorola,27973.0,1154.0,Technology
25,Chase Manhattan Corp.,27421.0,2461.0,Financial Services
26,Lockheed Martin,26875.0,1347.0,Industrials
27,Target,25371.0,463.0,Consumer Defensive
28,Kroger,25170.9,349.9,Consumer Defensive
29,Fannie Mae,25054.0,2725.0,Financial Services
30,Merrill Lynch,25011.0,1619.0,Financial Services
31,ConAgra Foods,24821.6,188.9,Consumer Defensive
32,Allstate,24299.0,2075.0,Financial Services
33,J.C. Penney,23649.0,565.0,Consumer Cyclical
34,United Technologies,23512.0,906.0,Industrials
35,MetLife,23000.0,800.0,Financial Services
36,Boeing,22681.0,1095.0,Industrials
37,United Parcel Service,22368.0,1146.0,Industrials
38,BankAmerica Corp.,22071.0,2873.0,Financial Services
39,Johnson & Johnson,21620.0,2887.0,Healthcare
40,Citigroup,21345.4,2331.0,Financial Services
41,GTE,21339.2,2798.3,Energy
42,Marathon Oil,21076.0,943.0,Energy
43,Intel,20847.0,5157.0,Technology
44,International Paper,20143.0,303.0,Consumer Cyclical
45,Dow Chemical,20053.0,1907.0,Basic Materials
46,Loews,19964.8,1383.9,Financial Services
47,Columbia/HCA Healthcare,19909.0,1505.0,Healthcare
48,Merck,19828.7,3881.3,Healthcare
49,Costco Wholesale,19566.5,248.8,Consumer Defensive
50,Home Depot,19535.5,937.7,Consumer Cyclical
51,Xerox,19521.0,1206.0,Technology
52,Atlantic Richfield,19168.5,1663.0,Energy
53,BellSouth,19040.0,2863.0,Communication Services
54,Cigna,18950.0,1056.0,Healthcare
55,Walt Disney,18739.0,1214.0,Communication Services
56,American Stores,18678.1,287.2,Consumer Defensive
57,Sara Lee,18624.0,916.0,Consumer Defensive
58,Coca-Cola,18546.0,3492.0,Consumer Defensive
59,MCI Communications,18494.0,1202.0,Financial Services
60,Compaq Computer,18109.0,1312.9,Technology
61,AMR,17753.0,1016.0,Basic Materials
62,Bank of America Corp.,17509.0,2452.0,Financial Services
63,New York Life Insurance,17347.0,579.4,Financial Services
64,American Express,17280.0,1901.0,Financial Services
65,Safeway,17269.0,460.6,Consumer Defensive
66,Nabisco Group Holdings,17063.0,611.0,Consumer Defensive
67,Aetna,16900.2,651.0,Healthcare
68,Caterpillar,16522.0,1361.0,Industrials
69,Fleming,16486.7,26.7,Consumer Defensive
70,Supervalu,16486.3,166.4,Consumer Defensive
71,UAL,16362.0,533.0,Industrials
72,Eastman Kodak,15968.0,1288.0,Industrials
73,J.P. Morgan,15866.0,1574.0,Financial Services
74,ConocoPhillips,15807.0,1303.0,Energy
75,Federated Dept. Stores,15229.0,265.9,Consumer Cyclical
76,Bristol-Myers Squibb,15065.0,2850.0,Healthcare
77,Ameritech,14917.0,2134.0,Communication Services
78,Digital Equipment,14562.8,-111.8,Technology
79,Rockwell Automation,14343.0,726.0,Industrials
80,Lehman Brothers Hldgs.,14260.0,416.0,Financial Services
81,3M,14236.0,1526.0,Industrials
82,Sprint,14234.9,1183.8,Healthcare
83,Wyeth,14088.3,1883.4,Healthcare
84,Honeywell Intl.,13971.0,1020.0,Industrials
85,SBC Communications,13898.2,2101.0,Communication Services
86,College Retirement Equities Fund,13864.6,N.A.,Financial Services
87,McDonnell Douglas,13834.0,788.0,Industrials
88,Teachers Insurance & Annuity Assn.,13828.1,934.5,Financial Services
89,Albertson's,13776.7,493.8,Consumer Defensive
90,McKesson,13718.8,135.4,Healthcare
91,Nynex,13453.8,1477.0,Communication Services
92,Sysco,13395.1,276.9,Consumer Defensive
93,Archer Daniels Midland,13314.0,695.9,Consumer Defensive
94,Enron,13289.0,584.0,Energy
95,Kimberly-Clark,13149.1,1403.8,Consumer Defensive
96,Morgan Stanley Group,13144.0,1029.0,Financial Services
97,Alcoa,13128.4,514.9,Basic Materials
98,Goodyear Tire & Rubber,13112.8,101.7,Consumer Cyclical
99,Verizon Communications,13081.4,1881.5,Communication Services
100,Georgia-Pacific,13024.0,156.0,Basic Materials
101,Winn-Dixie Stores,12955.5,255.6,Consumer Defensive
102,"MediaOne Group, Inc.",12911.0,1178.0,Communication Services
103,May Dept. Stores,12601.0,755.0,Consumer Cyclical
104,IBP,12538.8,198.7,Consumer Defensive
105,Hartford Financial Services,12473.0,-99.0,Financial Services
106,Delta Air Lines,12455.0,156.0,Industrials
107,Nationwide,12358.3,412.9,Financial Services
108,Raytheon,12330.5,761.2,Industrials
109,Ashland,12300.7,211.1,Basic Materials
110,Freddie Mac,12116.0,1243.0,Financial Services
111,Northwestern Mutual,12110.0,620.2,Financial Services
112,Viacom,12084.2,1247.9,Communication Services
113,Ingram Micro,12023.5,110.7,Technology
114,Wachovia Corp.,11985.0,1499.0,Financial Services
115,Coastal,11920.2,402.6,Financial Services
116,Walgreen,11778.4,371.7,Healthcare
117,Texas Instruments,11713.0,63.0,Technology
118,Pfizer,11306.0,1929.0,Healthcare
119,Deere,11229.4,817.3,Industrials
120,Emerson Electric,11149.9,1018.5,Industrials
121,Ikon Office Solutions,11122.6,210.7,Technology
122,Weyerhaeuser,11114.0,463.0,Real Estate
123,Massey Energy,11015.2,268.1,Energy
124,Abbott Laboratories,11013.5,1882.0,Healthcare
125,Tenneco Automotive,10982.0,410.0,Consumer Cyclical
126,Liberty Mutual Ins. Group,10967.0,511.0,Financial Services
127,Anheuser-Busch,10883.7,1189.9,Consumer Defensive
128,McDonald's,10686.5,1572.6,Consumer Cyclical
129,Occidental Petroleum,10557.0,668.0,Energy
130,CSX,10536.0,855.0,Industrials
131,Publix Super Markets,10526.0,265.2,Consumer Defensive
132,Berkshire Hathaway,10500.3,2488.6,Financial Services
133,Southern,10358.0,1127.0,Utilities
134,Waste Management,10321.6,192.1,Industrials
135,TRW,10310.1,480.0,Industrials
136,FedEx,10273.6,307.8,Industrials
137,Bank One Corp.,10272.4,1426.5,Financial Services
138,Sodexho Marriott Services,10172.0,306.0,Industrials
139,First Chicago NBD Corp.,10117.0,1436.0,Financial Services
140,UnitedHealth Group,10073.8,355.6,Healthcare
141,Time Warner,10064.0,-191.0,Communication Services
142,Union Pacific,10051.0,904.0,Industrials
143,Johnson Controls,10009.4,234.7,Industrials
144,Bergen Brunswig,9942.7,73.5,Healthcare
145,Toys `R` Us,9932.4,427.4,Consumer Cyclical
146,Tosco,9922.6,146.3,Energy
147,Northwest Airlines,9880.5,536.1,Industrials
148,Sunoco,9875.0,-115.0,Energy
149,Bestfoods,9844.3,580.0,Consumer Defensive
150,Apple Computer,9833.0,-816.0,Technology
151,Farmland Industries,9788.6,N.A.,Real Estate
152,Gillette,9697.7,948.7,Consumer Defensive
153,PG&E Corp.,9610.0,775.2,Utilities
154,Pacific Telesis Group,9588.0,1142.0,Communication Services
155,Bankers Trust Corp.,9565.0,612.0,Financial Services
