rank,company,revenue ($ millions),profit ($ millions),Sector
1,Wal-Mart Stores,288189.0,10267.0,Consumer Defensive
2,Exxon Mobil,270772.0,25330.0,Energy
3,General Motors,193517.0,2805.0,Consumer Cyclical
4,Ford Motor,172233.0,3487.0,Consumer Cyclical
5,General Electric,152363.0,16593.0,Industrials
6,ChevronTexaco,147967.0,13328.0,Energy
7,ConocoPhillips,121663.0,8129.0,Energy
8,Citigroup,108276.0,17046.0,Financial Services
9,American Intl. Group,98610.0,11050.0,Financial Services
10,Intl. Business Machines,96293.0,8430.0,Technology
11,Hewlett-Packard,79905.0,3497.0,Technology
12,Berkshire Hathaway,74382.0,7308.0,Financial Services
13,Home Depot,73094.0,5001.0,Consumer Cyclical
14,Verizon Communications,71563.3,7830.7,Communication Services
15,McKesson,69506.1,646.5,Healthcare
16,Cardinal Health,65130.6,1474.5,Healthcare
17,Altria Group,64440.0,9416.0,Consumer Defensive
18,Bank of America Corp.,63324.0,14143.0,Financial Services
19,State Farm Insurance Cos,58818.9,5308.6,Financial Services
20,J.P. Morgan Chase & Co.,56931.0,4466.0,Financial Services
21,Kroger,56434.4,-128.0,Consumer Defensive
22,Valero Energy,53918.6,1803.8,Energy
23,AmerisourceBergen,53179.0,468.4,Healthcare
24,Pfizer,52921.0,11361.0,Healthcare
25,Boeing,52553.0,1872.0,Industrials
26,Procter & Gamble,51407.0,6481.0,Consumer Defensive
27,Target,49934.0,3198.0,Consumer Defensive
28,Dell,49205.0,3043.0,Technology
29,Costco Wholesale,48107.0,882.4,Consumer Defensive
30,Johnson & Johnson,47348.0,8509.0,Healthcare
31,Marathon Oil,45444.0,1261.0,Energy
32,Time Warner,42869.0,3364.0,Communication Services
33,SBC Communications,41098.0,5887.0,Communication Services
34,Dow Chemical,40161.0,2797.0,Basic Materials
35,Albertson's,40052.0,444.0,Consumer Defensive
36,Morgan Stanley,39549.0,4486.0,Financial Services
37,MetLife,39535.0,2758.0,Financial Services
38,Walgreen,37508.2,1360.2,Healthcare
39,United Technologies,37445.0,2788.0,Industrials
40,UnitedHealth Group,37218.0,2587.0,Healthcare
41,Microsoft,36835.0,8168.0,Technology
42,United Parcel Service,36582.0,3333.0,Industrials
43,Lowe's,36464.0,2176.0,Consumer Cyclical
44,Archer Daniels Midland,36151.4,494.7,Consumer Defensive
45,Sears Roebuck,36099.0,-507.0,Consumer Cyclical
