rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,189058.0,6002.0,Consumer Cyclical
2,Wal-Mart Stores,166809.0,5377.0,Consumer Defensive
3,Exxon Mobil,163881.0,7910.0,Energy
4,Ford Motor,162558.0,7237.0,Consumer Cyclical
5,General Electric,111630.0,10717.0,Industrials
6,Intl. Business Machines,87548.0,7712.0,Technology
7,Citigroup,82005.0,9867.0,Financial Services
8,AT&T,62391.0,3428.0,Communication Services
9,Altria Group,61751.0,7675.0,Consumer Defensive
10,Boeing,57993.0,2309.0,Industrials
11,Bank of America Corp.,51392.0,7882.0,Financial Services
12,SBC Communications,49489.0,8159.0,Communication Services
13,Hewlett-Packard,48253.0,3491.0,Technology
14,Kroger,45351.6,955.9,Consumer Defensive
15,State Farm Insurance Cos,44637.2,1034.1,Financial Services
16,Sears Roebuck,41071.0,1453.0,Consumer Cyclical
17,American Intl. Group,40656.1,5055.4,Financial Services
18,Enron,40112.0,893.0,Energy
19,TIAA-CREF,39410.2,1024.1,Financial Services
20,Compaq Computer,38525.0,569.0,Technology
21,Home Depot,38434.0,2320.0,Consumer Cyclical
22,Lucent Technologies,38303.0,4766.0,Technology
23,Procter & Gamble,38125.0,3763.0,Consumer Defensive
24,Albertson's,37478.1,404.1,Consumer Defensive
25,MCI WorldCom,37120.0,4013.0,Financial Services
26,Fannie Mae,36968.6,3911.9,Financial Services
27,Kmart Holding,35925.0,403.0,Consumer Cyclical
28,Texaco,35690.0,1177.0,Energy
29,Merrill Lynch,34879.0,2618.0,Financial Services
30,Morgan Stanley,33928.0,4791.0,Financial Services
31,Chase Manhattan Corp.,33710.0,5446.0,Financial Services
32,Target,33702.0,1144.0,Consumer Defensive
33,Bell Atlantic,33174.0,4202.0,Communication Services
34,Merck,32714.0,5890.5,Healthcare
35,ChevronTexaco,32676.0,2070.0,Energy
36,J.C. Penney,32510.0,336.0,Consumer Cyclical
37,Motorola,30931.0,817.0,Technology
38,McKesson,30382.3,84.9,Healthcare
39,Intel,29389.0,7314.0,Technology
40,Safeway,28859.9,970.9,Consumer Defensive
41,Ingram Micro,28068.6,183.4,Technology
42,DuPont,27892.0,7690.0,Basic Materials
43,Johnson & Johnson,27471.0,4167.0,Healthcare
44,Costco Wholesale,27456.0,397.3,Consumer Defensive
45,Time Warner,27333.0,1948.0,Communication Services
46,United Parcel Service,27052.0,883.0,Industrials
47,Allstate,26959.0,2720.0,Financial Services
48,Prudential Financial,26618.0,813.0,Financial Services
49,Aetna,26452.7,716.9,Healthcare
50,Bank One Corp.,25986.0,3479.0,Financial Services
51,Marathon Oil,25610.0,698.0,Energy
52,Lockheed Martin,25530.0,382.0,Industrials
53,MetLife,25426.0,617.0,Financial Services
54,Goldman Sachs Group,25363.0,2708.0,Financial Services
55,GTE,25336.2,4032.8,Energy
56,Dell,25265.0,1666.0,Technology
57,United Technologies,25242.0,1531.0,Industrials
58,BellSouth,25224.0,3448.0,Communication Services
59,Cardinal Health,25033.6,456.3,Healthcare
60,ConAgra Foods,24594.3,358.4,Consumer Defensive
61,International Paper,24573.0,183.0,Consumer Cyclical
62,Freddie Mac,24268.0,2223.0,Financial Services
63,AutoNation,24206.6,282.9,Consumer Cyclical
64,Berkshire Hathaway,24028.0,1557.0,Financial Services
65,Honeywell Intl.,23735.0,1541.0,Industrials
66,Walt Disney,23402.0,1300.0,Communication Services
67,Wachovia Corp.,22084.0,3223.0,Financial Services
68,Wells Fargo,21795.0,3747.0,Financial Services
69,Duke Energy,21742.0,1507.0,Utilities
70,New York Life Insurance,21679.3,554.8,Financial Services
71,American Express,21278.0,2475.0,Financial Services
72,Loews,20952.6,363.2,Financial Services
73,PG&E Corp.,20820.0,-73.0,Utilities
74,Conoco,20817.0,744.0,Energy
75,Cigna,20644.0,1774.0,Healthcare
76,PepsiCo,20367.0,2050.0,Consumer Defensive
77,AMR,20262.0,985.0,Basic Materials
78,Bristol-Myers Squibb,20222.0,4167.0,Healthcare
79,Sara Lee,20012.0,1191.0,Consumer Defensive
80,FleetBoston Financial,20000.0,2038.0,Financial Services
81,Sprint,19930.0,-935.0,Healthcare
82,Raytheon,19841.0,404.0,Industrials
83,Coca-Cola,19805.0,2431.0,Consumer Defensive
84,Microsoft,19747.0,7785.0,Technology
85,Caterpillar,19702.0,946.0,Industrials
86,UnitedHealth Group,19562.0,568.0,Healthcare
87,Xerox,19228.0,1424.0,Technology
88,Lehman Brothers Hldgs.,18989.0,1132.0,Financial Services
89,Dow Chemical,18929.0,1331.0,Basic Materials
90,Aquila,18621.5,160.5,Energy
91,Electronic Data Systems,18534.2,420.9,Technology
92,J.P. Morgan,18110.0,2055.0,Financial Services
93,CVS,18098.3,635.1,Healthcare
94,UAL,18027.0,1235.0,Industrials
95,Walgreen,17838.8,624.1,Healthcare
96,Georgia-Pacific,17796.0,716.0,Basic Materials
97,Federated Dept. Stores,17716.0,795.0,Consumer Cyclical
