rank,company,revenue ($ millions),profit ($ millions),Sector
1,Wal-Mart Stores,246525.0,8039.0,Consumer Defensive
2,General Motors,186763.0,1736.0,Consumer Cyclical
3,Exxon Mobil,182466.0,11460.0,Energy
4,Ford Motor,163630.0,-980.0,Consumer Cyclical
5,General Electric,131698.0,14118.0,Industrials
6,Citigroup,100789.0,15276.0,Financial Services
7,ChevronTexaco,92043.0,1132.0,Energy
8,Intl. Business Machines,83132.0,3579.0,Technology
9,American Intl. Group,67722.8,5518.9,Financial Services
10,Verizon Communications,67625.0,4079.0,Communication Services
11,Altria Group,62182.0,11102.0,Consumer Defensive
12,ConocoPhillips,58394.0,-295.0,Energy
13,Home Depot,58247.0,3664.0,Consumer Cyclical
14,Hewlett-Packard,56588.0,-903.0,Technology
15,Boeing,54069.0,492.0,Industrials
16,Fannie Mae,52901.1,4618.8,Financial Services
17,Merck,51790.3,7149.5,Healthcare
18,Kroger,51759.5,1204.9,Consumer Defensive
19,Cardinal Health,51135.7,1056.2,Healthcare
20,McKesson,50006.0,418.6,Healthcare
21,State Farm Insurance Cos,49653.7,-2795.5,Financial Services
22,AT&T,46727.0,-13082.2,Communication Services
23,Bank of America Corp.,45732.0,9249.0,Financial Services
24,AmerisourceBergen,45234.8,344.9,Healthcare
25,Target,43917.0,1654.0,Consumer Defensive
26,J.P. Morgan Chase & Co.,43372.0,1663.0,Financial Services
27,SBC Communications,43138.0,5653.0,Communication Services
28,Berkshire Hathaway,42353.0,4286.0,Financial Services
29,Time Warner,41780.0,-98696.0,Communication Services
30,Sears Roebuck,41366.0,1376.0,Consumer Cyclical
31,Procter & Gamble,40238.0,4352.0,Consumer Defensive
32,Freddie Mac,39663.0,5764.0,Financial Services
33,Costco Wholesale,38762.5,700.0,Consumer Defensive
34,Johnson & Johnson,36298.0,6597.0,Healthcare
35,Albertson's,35916.0,485.0,Consumer Defensive
36,Dell,35404.0,2122.0,Technology
37,Pfizer,35281.0,9126.0,Healthcare
38,MetLife,34055.0,1605.0,Financial Services
39,Kmart Holding,32765.0,-3691.0,Consumer Cyclical
40,Morgan Stanley,32415.0,2988.0,Financial Services
41,Safeway,32399.2,-828.1,Consumer Defensive
42,J.C. Penney,32347.0,405.0,Consumer Cyclical
43,United Parcel Service,31272.0,3182.0,Industrials
44,Allstate,29579.0,1134.0,Financial Services
45,Walgreen,28681.1,1019.2,Healthcare
46,Wells Fargo,28473.0,5434.0,Financial Services
47,Microsoft,28365.0,7829.0,Technology
48,Merrill Lynch,28253.0,2513.0,Financial Services
49,United Technologies,28212.0,2236.0,Industrials
50,ConAgra Foods,27629.6,783.0,Consumer Defensive
51,Dow Chemical,27609.0,-338.0,Basic Materials
52,Marathon Oil,27470.0,516.0,Energy
53,Delphi,27427.0,343.0,Consumer Cyclical
54,Sprint,27180.0,630.0,Healthcare
