rank,company,revenue ($ millions),profit ($ millions),Sector
1,Wal-Mart Stores,258681.0,9054.0,Consumer Defensive
2,Exxon Mobil,213199.0,21510.0,Energy
3,General Motors,195645.2,3822.0,Consumer Cyclical
4,Ford Motor,164496.0,495.0,Consumer Cyclical
5,General Electric,134187.0,15002.0,Industrials
6,ChevronTexaco,112937.0,7230.0,Energy
7,ConocoPhillips,99468.0,4735.0,Energy
8,Citigroup,94713.0,17853.0,Financial Services
9,Intl. Business Machines,89131.0,7583.0,Technology
10,American Intl. Group,81300.0,9274.2,Financial Services
11,Hewlett-Packard,73061.0,2539.0,Technology
12,Verizon Communications,67752.0,3077.0,Communication Services
13,Home Depot,64816.0,4304.0,Consumer Cyclical
14,Berkshire Hathaway,63859.0,8151.0,Financial Services
15,Altria Group,60704.0,9204.0,Consumer Defensive
16,McKesson,57129.2,555.4,Healthcare
17,Cardinal Health,56829.5,1405.8,Healthcare
18,State Farm Insurance Cos,56064.6,2825.9,Financial Services
19,Kroger,53790.8,314.6,Consumer Defensive
20,Fannie Mae,53766.9,7904.9,Financial Services
21,Boeing,50485.0,698.0,Industrials
22,AmerisourceBergen,49657.3,441.2,Healthcare
23,Target,48163.0,1841.0,Consumer Defensive
24,Bank of America Corp.,48065.0,10810.0,Financial Services
25,Pfizer,45950.0,3910.0,Healthcare
26,J.P. Morgan Chase & Co.,44363.0,6719.0,Financial Services
27,Time Warner,43877.0,2639.0,Communication Services
28,Procter & Gamble,43377.0,5186.0,Consumer Defensive
29,Costco Wholesale,42545.6,721.0,Consumer Defensive
30,Johnson & Johnson,41862.0,7197.0,Healthcare
31,Dell,41444.0,2645.0,Technology
32,Sears Roebuck,41124.0,3397.0,Consumer Cyclical
33,SBC Communications,40843.0,8505.0,Communication Services
34,Valero Energy,37968.6,621.5,Energy
35,Marathon Oil,37137.0,1321.0,Energy
36,MetLife,36261.0,2217.0,Financial Services
37,Safeway,35552.7,-169.8,Consumer Defensive
38,Albertson's,35436.0,556.0,Consumer Defensive
39,Morgan Stanley,34933.0,3787.0,Financial Services
40,AT&T,34529.0,1865.0,Communication Services
41,Medco Health Solutions,34264.5,425.8,Healthcare
42,United Parcel Service,33485.0,2898.0,Industrials
43,J.C. Penney,32923.0,-928.0,Consumer Cyclical
44,Dow Chemical,32632.0,1730.0,Basic Materials
45,Walgreen,32505.4,1175.7,Healthcare
46,Microsoft,32187.0,9993.0,Technology
47,Allstate,32149.0,2705.0,Financial Services
48,Lockheed Martin,31844.0,1053.0,Industrials
49,Wells Fargo,31800.0,6202.0,Financial Services
50,Lowe's,31263.0,1877.0,Consumer Cyclical
51,United Technologies,31034.0,2361.0,Industrials
52,Archer Daniels Midland,30708.0,451.1,Consumer Defensive
53,Intel,30141.0,5641.0,Technology
54,UnitedHealth Group,28823.0,1825.0,Healthcare
55,Northrop Grumman,28686.0,866.0,Industrials
56,Delphi,28096.0,-56.0,Consumer Cyclical
57,Prudential Financial,27907.0,1264.0,Financial Services
58,Merrill Lynch,27745.0,3988.0,Financial Services
59,DuPont,27730.0,973.0,Basic Materials
60,Walt Disney,27061.0,1267.0,Communication Services
61,Motorola,27058.0,893.0,Technology
62,PepsiCo,26971.0,3568.0,Consumer Defensive
63,CVS,26588.0,847.3,Healthcare
64,Viacom,26585.3,1416.9,Communication Services
65,Sprint,26202.0,1215.0,Healthcare
66,Sysco,26140.3,778.3,Consumer Defensive
67,Kmart Holding,26032.0,-1991.0,Consumer Cyclical
68,TIAA-CREF,26016.2,514.3,Financial Services
69,American Express,25866.0,2987.0,Financial Services
70,New York Life Insurance,25699.7,695.0,Financial Services
71,International Paper,25200.0,302.0,Consumer Cyclical
72,Tyson Foods,24549.0,337.0,Consumer Defensive
73,Wachovia Corp.,24474.0,4624.0,Financial Services
74,Goldman Sachs Group,23623.0,3005.0,Financial Services
75,Duke Energy,23483.0,-1323.0,Utilities
