rank,company,revenue ($ millions),profit ($ millions),Sector
1,Wal-Mart Stores,351139,11284,Consumer Defensive
2,Exxon Mobil,347254,39500,Energy
3,General Motors,207349,-1978,Consumer Cyclical
4,Chevron,200567,17138,Energy
5,ConocoPhillips,172451,15550,Energy
6,General Electric,168307,20829,Industrials
7,Ford Motor,160126,-12613,Consumer Cyclical
8,Citigroup,146777,21538,Financial Services
9,Bank of America Corp.,117017,21133,Financial Services
10,American Intl. Group,113194,14048,Financial Services
11,J.P. Morgan Chase & Co.,99973,14444,Financial Services
12,Berkshire Hathaway,98539,11015,Financial Services
13,Verizon Communications,93221,6197,Communication Services
14,Hewlett-Packard,91658,6198,Technology
15,Intl. Business Machines,91424,9492,Technology
16,Valero Energy,91051,5463,Energy
17,Home Depot,90837,5761,Consumer Cyclical
18,McKesson,88050,751,Healthcare
19,Cardinal Health,81895.1,1000.1,Healthcare
20,Morgan Stanley,76688,7472,Financial Services
21,UnitedHealth Group,71542,4159,Healthcare
22,Merrill Lynch,70591,7499,Financial Services
23,Altria Group,70324,12022,Consumer Defensive
24,Goldman Sachs Group,69353,9537,Financial Services
25,Procter & Gamble,68222,8684,Consumer Defensive
26,Kroger,66111.2,1114.9,Consumer Defensive
27,AT&T,63055,7356,Communication Services
28,Boeing,61530,2215,Industrials
29,AmerisourceBergen,61203.1,467.7,Healthcare
30,Marathon Oil,60643,5234,Energy
31,State Farm Insurance Cos,60528,5315.5,Financial Services
32,Costco Wholesale,60151.2,1103.2,Consumer Defensive
33,Target,59490,2787,Consumer Defensive
34,Dell,57095,2614,Technology
35,Wellpoint,56953,3094.9,Healthcare
36,Johnson & Johnson,53324,11053,Healthcare
37,MetLife,53275,6293,Financial Services
38,Sears Holdings,53012,1490,Consumer Cyclical
39,Pfizer,52415,19337,Healthcare
40,Dow Chemical,49124,3724,Basic Materials
41,Wells Fargo,47979,8482,Financial Services
42,United Technologies,47829,3732,Industrials
43,United Parcel Service,47547,4202,Industrials
44,Walgreen,47409,1750.6,Healthcare
45,Lowe's,46927,3105,Consumer Cyclical
46,Wachovia Corp.,46810,7791,Financial Services
47,Lehman Brothers Holdings,46709,4007,Financial Services
48,Time Warner,44788,6552,Communication Services
49,Microsoft,44282,12599,Technology
50,Freddie Mac,44002,2211,Financial Services
51,CVS/Caremark,43813.8,1368.9,Healthcare
52,Motorola,43739,3661,Technology
53,Sprint Nextel,43531,1329,Communication Services
54,Medco Health Solutions,42543.7,630.2,Healthcare
55,Caterpillar,41517,3537,Industrials
56,Safeway,40185,870.6,Consumer Defensive
57,Lockheed Martin,39620,2529,Industrials
58,Caremark Rx,36750.2,1074,Healthcare
59,Archer Daniels Midland,36596.1,1312.1,Consumer Defensive
60,Sunoco,36081,979,Energy
61,Allstate,35796,4993,Financial Services
62,Intel,35382,5044,Technology
63,PepsiCo,35137,5642,Consumer Defensive
64,Walt Disney,34285,3374,Communication Services
65,Sysco,32628.4,855.3,Consumer Defensive
66,Prudential Financial,32488,3428,Financial Services
67,Johnson Controls,32413,1028,Industrials
68,FedEx,32294,1806,Industrials
69,Honeywell Intl.,31367,2083,Industrials
70,Ingram Micro,31357.5,265.8,Technology
71,Alcoa,30896,2248,Basic Materials
72,Best Buy,30848,1140,Consumer Cyclical
73,Northrop Grumman,30304,1542,Industrials
74,DuPont,28982,3148,Basic Materials
75,Hess,28720,1916,Energy
76,Federated Dept. Stores,28711,995,Consumer Cyclical
77,Cisco Systems,28484,5580,Technology
78,New York Life Insurance,28365.1,1035.4,Financial Services
79,American Express,27145,3707,Financial Services
80,TIAA-CREF,26756.8,2333.8,Financial Services
81,Washington Mutual,26561,3558,Financial Services
82,Hartford Financial Services,26500,2745,Financial Services
83,Delphi,26392,-5464,Consumer Cyclical
84,Comcast,25700,2533,Communication Services
85,Aetna,25568.6,1701.7,Healthcare
86,Tyson Foods,25559,-196,Consumer Defensive
87,HCA,25477,1036,Healthcare
88,News Corp.,25327,2314,Communication Services
89,Travelers Cos.,25090,4208,Financial Services
90,Massachusetts Mutual Life Insurance,24863.4,1266,Financial Services
91,Countrywide Financial,24444.6,2674.8,Financial Services
92,General Dynamics,24212,1856,Industrials
93,International Paper,24186,1050,Consumer Cyclical
94,Coca-Cola,24088,5080,Consumer Defensive
95,Liberty Mutual Ins. Group,23520,1626,Financial Services
96,Raytheon,23274,1283,Industrials
97,3M,22923,3851,Industrials
98,Deere,22768.9,1693.8,Industrials
99,Merck,22636,4433.8,Healthcare
100,Halliburton,22576,2348,Energy
101,AMR,22563,231,Basic Materials
102,Abbott Laboratories,22476.3,1716.8,Healthcare
103,Plains All Amer. Pipeline,22444.4,285.1,Energy
104,Nationwide,22253,2113,Financial Services
105,Weyerhaeuser,22250,453,Real Estate
106,Lyondell Chemical,22228,186,Basic Materials
107,Publix Super Markets,21819.7,1097.2,Consumer Defensive
108,McDonald's,21586.4,3544.2,Consumer Cyclical
109,Tech Data,21446.1,-97,Technology
110,Humana,21416.5,487.4,Healthcare
111,Electronic Data Systems,21337,470,Technology
112,Northwestern Mutual,20726.2,829.4,Financial Services
113,Wyeth,20350.7,4196.7,Healthcare
114,Goodyear Tire & Rubber,20258,-330,Consumer Cyclical
115,Emerson Electric,20133,1845,Industrials
116,J.C. Penney,19903,1153,Consumer Cyclical
117,Supervalu,19863.6,206.2,Consumer Defensive
118,Coca-Cola Enterprises,19804,-1143,Consumer Defensive
119,Constellation Energy,19446.1,936.4,Utilities
120,UAL,19340,22876,Industrials
121,Apple,19315,1989,Technology
122,AutoNation,19314.4,316.9,Consumer Cyclical
123,U.S. Bancorp,19109,4751,Financial Services
124,Occidental Petroleum,19029,4182,Energy
125,Sara Lee,18539,555,Consumer Defensive
126,Staples,18160.8,973.7,Consumer Defensive
127,Whirlpool,18080,433,Consumer Cyclical
128,Tesoro,18002,801,Basic Materials
129,Bristol-Myers Squibb,17914,1585,Healthcare
130,Lear,17838.9,-707.5,Consumer Cyclical
