rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,161315.0,2956.0,Consumer Cyclical
2,Ford Motor,144416.0,22071.0,Consumer Cyclical
3,Wal-Mart Stores,139208.0,4430.0,Consumer Defensive
4,Exxon Mobil,100697.0,6370.0,Energy
5,General Electric,100469.0,9296.0,Industrials
6,Intl. Business Machines,81667.0,6328.0,Technology
7,Citigroup,76431.0,5807.0,Financial Services
8,Altria Group,57813.0,5372.0,Consumer Defensive
9,Boeing,56154.0,1120.0,Industrials
10,AT&T,53588.0,6398.0,Communication Services
11,Bank of America Corp.,50777.0,5165.0,Financial Services
12,State Farm Insurance Cos,47678.0,1704.0,Financial Services
13,Mobil,47061.0,2945.0,Energy
14,Hewlett-Packard,44620.9,1319.7,Technology
15,Sears Roebuck,41322.0,1048.0,Consumer Cyclical
16,DuPont,39130.0,4480.0,Basic Materials
17,Procter & Gamble,37154.0,3780.0,Consumer Defensive
18,TIAA-CREF,35889.1,840.4,Financial Services
19,Merrill Lynch,35853.0,1259.0,Financial Services
20,Prudential Ins. Co. of America,34427.0,1106.0,Financial Services
21,Kmart Holding,33674.0,568.0,Consumer Cyclical
22,American Intl. Group,33296.0,3765.6,Financial Services
23,Chase Manhattan Corp.,32379.0,3782.0,Financial Services
24,Texaco,31707.0,578.0,Energy
25,Verizon Communications,31565.9,2965.3,Communication Services
26,Fannie Mae,31498.8,3418.1,Financial Services
27,Enron,31260.0,703.0,Energy
28,Compaq Computer,31169.0,-2743.0,Technology
29,Morgan Stanley,31131.0,3276.0,Financial Services
30,Target,30951.0,935.0,Consumer Defensive
31,J.C. Penney,30678.0,594.0,Consumer Cyclical
32,Home Depot,30219.0,1614.0,Consumer Cyclical
33,Lucent Technologies,30147.0,970.0,Technology
34,Motorola,29398.0,-962.0,Technology
35,SBC Communications,28777.0,4023.0,Communication Services
36,Kroger,28203.3,410.8,Consumer Defensive
37,Merck,26898.2,5248.2,Healthcare
38,ChevronTexaco,26801.0,1976.0,Energy
39,MetLife,26735.0,1343.0,Financial Services
40,Intel,26273.0,6068.0,Technology
41,Lockheed Martin,26266.0,1001.0,Industrials
42,Allstate,25879.0,3294.0,Financial Services
43,United Technologies,25715.0,1255.0,Industrials
44,Bank One Corp.,25595.0,3108.0,Financial Services
45,GTE,25473.0,2172.0,Energy
46,United Parcel Service,24788.0,1741.0,Industrials
47,Marathon Oil,24754.0,674.0,Energy
48,Safeway,24484.2,806.7,Consumer Defensive
49,Costco Wholesale,24269.9,459.8,Consumer Defensive
50,ConAgra Foods,23840.5,613.2,Consumer Defensive
51,Johnson & Johnson,23657.0,3059.0,Healthcare
52,BellSouth,23123.0,3527.0,Communication Services
53,Walt Disney,22976.0,1850.0,Communication Services
54,PepsiCo,22348.0,1993.0,Consumer Defensive
55,Ingram Micro,22034.0,245.2,Technology
56,Wachovia Corp.,21543.0,2891.0,Financial Services
57,Cigna,21437.0,1292.0,Healthcare
58,Caterpillar,20977.0,1513.0,Industrials
59,McKesson,20857.3,154.9,Healthcare
60,Loews,20713.0,464.8,Financial Services
61,Aetna,20604.1,848.1,Healthcare
62,Wells Fargo,20482.0,1950.0,Financial Services
63,Xerox,20019.0,395.0,Technology
64,Sara Lee,20011.0,-523.0,Consumer Defensive
65,PG&E Corp.,19942.0,719.0,Utilities
66,Lehman Brothers Hldgs.,19894.0,736.0,Financial Services
67,American Stores,19866.7,233.7,Consumer Defensive
68,New York Life Insurance,19848.9,752.9,Financial Services
69,Raytheon,19681.0,379.0,Industrials
70,International Paper,19530.0,864.0,Consumer Cyclical
71,AMR,19500.0,213.0,Basic Materials
72,American Express,19205.0,1314.0,Financial Services
73,Coca-Cola,19132.0,2141.0,Consumer Defensive
74,Columbia/HCA Healthcare,18813.0,3533.0,Healthcare
75,Dow Chemical,18441.0,1310.0,Basic Materials
76,J.P. Morgan,18425.0,963.0,Financial Services
77,Bristol-Myers Squibb,18283.6,3141.2,Healthcare
78,Dell,18243.0,1460.0,Technology
79,Freddie Mac,18048.0,1700.0,Financial Services
80,MCI WorldCom,17678.0,-2669.0,Financial Services
81,Duke Energy,17610.0,1252.0,Utilities
82,UAL,17561.0,821.0,Industrials
83,AutoNation,17487.3,499.5,Consumer Cyclical
84,UnitedHealth Group,17355.0,-166.0,Healthcare
85,Halliburton,17353.1,-14.7,Energy
86,Supervalu,17201.4,230.8,Consumer Defensive
87,Ameritech,17154.0,3606.0,Communication Services
88,Sprint,17134.3,414.5,Healthcare
89,Nabisco Group Holdings,17037.0,-577.0,Consumer Defensive
90,Electronic Data Systems,16891.0,743.4,Technology
91,Archer Daniels Midland,16108.6,403.6,Consumer Defensive
92,Albertson's,16005.1,567.2,Consumer Defensive
93,Cardinal Health,15918.1,247.1,Healthcare
94,FedEx,15872.8,503.0,Industrials
95,Federated Dept. Stores,15833.0,662.0,Consumer Cyclical
96,Alcoa,15489.4,853.0,Basic Materials
97,Sysco,15327.5,296.8,Consumer Defensive
98,Walgreen,15307.0,511.0,Healthcare
99,CVS,15273.6,396.4,Healthcare
100,Honeywell Intl.,15128.0,1331.0,Industrials
101,Fleming,15069.3,-510.6,Consumer Defensive
102,Hartford Financial Services,15022.0,1015.0,Financial Services
103,3M,15021.0,1175.0,Industrials
