rank,company,revenue ($ millions),profit ($ millions),Sector
1,General Motors,168828.6,6880.7,Consumer Cyclical
2,Ford Motor,137137.0,4139.0,Consumer Cyclical
3,Exxon Mobil,110009.0,6470.0,Energy
4,Wal-Mart Stores,93627.0,2740.0,Consumer Defensive
5,AT&T,79609.0,139.0,Communication Services
6,Intl. Business Machines,71940.0,4178.0,Technology
7,General Electric,70028.0,6573.0,Industrials
8,Mobil,66724.0,2376.0,Energy
9,Chrysler,53195.0,2025.0,Consumer Cyclical
10,Altria Group,53139.0,5450.0,Consumer Defensive
11,Prudential Ins. Co. of America,41330.0,579.0,Financial Services
12,State Farm Insurance Cos,40809.9,1271.2,Financial Services
13,DuPont,37607.0,3293.0,Basic Materials
14,Texaco,36787.0,607.0,Energy
15,Sears Roebuck,35181.0,1801.0,Consumer Cyclical
16,Kmart Holding,34654.0,-571.0,Consumer Cyclical
17,Procter & Gamble,33434.0,2645.0,Consumer Defensive
18,ChevronTexaco,32094.0,930.0,Energy
19,Citicorp,31690.0,3464.0,Financial Services
20,Hewlett-Packard,31519.0,2433.0,Technology
21,PepsiCo,30421.0,1606.0,Consumer Defensive
22,MetLife,27977.0,-559.4,Financial Services
23,Amoco,27665.0,1862.0,Energy
24,Motorola,27037.0,1781.0,Technology
25,American Intl. Group,25874.0,2510.4,Financial Services
26,ConAgra Foods,24108.9,495.6,Consumer Defensive
27,Kroger,23937.8,302.8,Consumer Defensive
28,Target,23516.0,311.0,Consumer Defensive
29,Lockheed Martin,22853.0,682.0,Industrials
30,United Technologies,22802.0,750.0,Industrials
31,Allstate,22793.0,1904.0,Financial Services
32,Fannie Mae,22246.0,2372.0,Financial Services
33,Merrill Lynch,21513.0,1114.0,Financial Services
34,J.C. Penney,21419.0,838.0,Consumer Cyclical
35,United Parcel Service,21045.0,1043.0,Industrials
36,Dow Chemical,20957.0,2078.0,Basic Materials
37,BankAmerica Corp.,20386.0,2664.0,Financial Services
38,GTE,19957.0,-2144.0,Energy
39,International Paper,19797.0,1153.0,Consumer Cyclical
40,Boeing,19515.0,393.0,Industrials
41,Xerox,18963.0,-472.0,Technology
42,Cigna,18955.0,211.0,Healthcare
43,Johnson & Johnson,18842.0,2403.0,Healthcare
44,Loews,18770.0,1765.7,Financial Services
45,American Stores,18308.9,316.8,Consumer Defensive
