Rank,Name,Ticker
1,Walmart,WMT
2,Exxon Mobil,XOM
3,Apple,AAPL
4,Berkshire Hathaway,BRKA
5,McKesson,MCK
6,UnitedHealth Group,UNH
7,CVS Health,CVS
8,General Motors,GM
9,Ford Motor,F
10,AT&T,T
11,General Electric,GE
12,AmerisourceBergen,ABC
13,Verizon,VZ
14,Chevron,CVX
15,Costco,COST
16,Fannie Mae,FNMA
17,Kroger,KR
18,Amazon.com,AMZN
19,Walgreens Boots Alliance,WBA
20,HP,HPQ
21,Cardinal Health,CAH
22,Express Scripts Holding,ESRX
23,J.P. Morgan Chase,JPM
24,Boeing,BA
25,Microsoft,MSFT
26,Bank of America Corp.,BAC
27,Wells Fargo,WFC
28,Home Depot,HD
29,Citigroup,C
30,Phillips 66,PSX
31,IBM,IBM
32,Valero Energy,VLO
33,Anthem,ANTM
34,Procter & Gamble,PG
35,State Farm Insurance Cos.,
36,Alphabet,GOOGL
37,Comcast,CMCSA
38,Target,TGT
39,Johnson & Johnson,JNJ
40,MetLife,MET
41,Archer Daniels Midland,ADM
42,Marathon Petroleum,MPC
43,Freddie Mac,FMCC
44,PepsiCo,PEP
45,United Technologies,UTX
46,Aetna,AET
47,Lowe’s,LOW
48,UPS,UPS
49,AIG,AIG
50,Prudential Financial,PRU
51,Intel,INTC
52,Humana,HUM
53,Disney,DIS
54,Cisco Systems,CSCO
55,Pfizer,PFE
56,Dow Chemical,
57,Sysco,SYY
58,FedEx,FDX
59,Caterpillar,CAT
60,Lockheed Martin,LMT
61,New York Life Insurance,
62,Coca-Cola,KO
63,HCA Holdings,HCA
64,Ingram Micro,
65,Energy Transfer Equity,ET
66,Tyson Foods,TSN
67,American Airlines Group,AAL
68,Delta Air Lines,DAL
69,Nationwide,
70,Johnson Controls,JCI
71,Best Buy,BBY
72,Merck,MRK
73,Liberty Mutual Insurance Group,
74,Goldman Sachs Group,GS
75,Honeywell International,HON
76,Massachusetts Mutual Life Insurance,
77,Oracle,ORCL
78,Morgan Stanley,MS
79,Cigna,CI
80,United Continental Holdings,UAL
81,Allstate,ALL
82,TIAA,
83,INTL FCStone,SNEX
84,CHS,
85,American Express,AXP
86,Gilead Sciences,GILD
87,Publix Super Markets,
88,General Dynamics,GD
89,TJX,TJX
90,ConocoPhillips,COP
91,Nike,NKE
92,World Fuel Services,INT
93,3M,MMM
94,Mondelez International,MDLZ
