Rank,Name,Ticker
1,Wal-Mart Stores,WMT
2,Exxon Mobil,XOM
3,Chevron,CVX
4,Phillips 66,PSX
5,Berkshire Hathaway,BRKA
6,Apple,AAPL
7,General Motors,GM
8,General Electric,GE
9,Valero Energy,VLO
10,Ford Motor,F
11,AT&T,T
12,Fannie Mae,FNMA
13,CVS Caremark,CVS
14,McKesson,MCK
15,Hewlett-Packard,HPE
16,Verizon Communications,VZ
17,UnitedHealth Group,UNH
18,J.P. Morgan Chase & Co.,JPM
19,Cardinal Health,CAH
20,International Business Machines,IBM
21,Bank of America Corp.,BAC
22,Costco Wholesale,COST
23,Kroger,KR
24,Express Scripts Holding,ESRX
25,Wells Fargo,WFC
26,Citigroup,C
27,Archer Daniels Midland,ADM
28,Procter & Gamble,PG
29,Prudential Financial,PRU
30,Boeing,BA
31,Freddie Mac,FMCC
32,AmerisourceBergen,ABC
33,Marathon Petroleum,MPC
34,Home Depot,HD
35,Microsoft,MSFT
36,Target,TGT
37,Walgreen,WBA
38,American International Group,AIG
39,INTL FCStone,SNEX
40,MetLife,MET
41,Johnson & Johnson,JNJ
42,Caterpillar,CAT
43,PepsiCo,PEP
44,State Farm Insurance Cos.,
45,ConocoPhillips,COP
46,Comcast,CMCSA
47,WellPoint,ANTM
48,Pfizer,PFE
49,Amazon.com,AMZN
50,United Technologies,UTX
51,Dell,DELL
52,Dow Chemical,
53,United Parcel Service,UPS
54,Intel,INTC
55,Google,GOOG
56,Lowe's,LOW
57,Coca-Cola,KO
58,Merck,MRK
59,Lockheed Martin,LMT
60,Cisco Systems,CSCO
61,Best Buy,BBY
62,Safeway,
63,FedEx,FDX
64,Enterprise Products Partners,EPD
65,Sysco,SYY
66,Walt Disney,DIS
67,Johnson Controls,JCI
68,Goldman Sachs Group,GS
69,CHS,
70,Abbott Laboratories,ABT
71,Sears Holdings,SHLDQ
72,DuPont,DD
73,Humana,HUM
74,World Fuel Services,INT
75,Hess,HES
76,Ingram Micro,
77,Plains All American Pipeline,PAA
78,Honeywell International,HON
79,United Continental Holdings,UAL
80,Oracle,ORCL
81,Liberty Mutual Insurance Group,
82,HCA Holdings,HCA
83,Delta Air Lines,DAL
84,Aetna,AET
85,Deere,DE
86,Supervalu,SVU
87,Sprint Nextel,
88,Mondelēz International,MDLZ
89,New York Life Insurance,
90,American Express,AXP
91,News Corp.,NWSA
92,Allstate,ALL
93,Tyson Foods,TSN
94,Massachusetts Mutual Life Insurance,
95,Tesoro,TSO
96,Morgan Stanley,MS
97,TIAA-CREF,TRGIX
98,General Dynamics,GD
99,Philip Morris International,PM
100,Nationwide,
101,3M,MMM
102,DirecTV,DTV
103,Cigna,CI
104,Murphy Oil,MUR
105,Time Warner,TWX
106,Halliburton,HAL
107,International Paper,IP
108,Publix Super Markets,
109,Macy's,M
110,Fluor,FLR
111,McDonald's,MCD
112,Hartford Financial Services Group,HIG
113,Rite Aid,RAD
114,Northwestern Mutual,
