Rank,Name,Ticker,Sector,Industry
1,Walmart,WMT,Consumer Defensive,Discount Stores
2,Amazon.com,AMZN,Consumer Cyclical,Internet Retail
3,Exxon Mobil,XOM,Energy,Oil & Gas Integrated
4,Apple,AAPL,Technology,Consumer Electronics
5,UnitedHealth Group,UNH,Healthcare,Healthcare Plans
6,CVS Health,CVS,Healthcare,Healthcare Plans
7,Berkshire Hathaway,BRKA,,
8,Alphabet,GOOGL,Communication Services,Internet Content & Information
9,McKesson,MCK,Healthcare,Medical Distribution
10,Chevron,CVX,Energy,Oil & Gas Integrated
11,AmerisourceBergen,ABC,,
12,Costco Wholesale,COST,Consumer Defensive,Discount Stores
13,Microsoft,MSFT,Technology,Software - Infrastructure
14,Cardinal Health,CAH,Healthcare,Medical Distribution
15,Cigna Group,CI,Healthcare,Healthcare Plans
16,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
17,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
18,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
19,Ford Motor,F,Consumer Cyclical,Auto Manufacturers
20,Home Depot,HD,Consumer Cyclical,Home Improvement Retail
21,General Motors,GM,Consumer Cyclical,Auto Manufacturers
22,Elevance Health,ELV,Healthcare,Healthcare Plans
23,JPMorgan Chase,JPM,Financial Services,Banks - Diversified
24,Kroger,KR,Consumer Defensive,Grocery Stores
25,Centene,CNC,Healthcare,Healthcare Plans
26,Verizon Communications,VZ,Communication Services,Telecom Services
27,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers
28,Fannie Mae,FNMA,Financial Services,Mortgage Finance
29,Comcast,CMCSA,Communication Services,Telecom Services
30,AT&T,T,Communication Services,Telecom Services
31,Meta Platforms,META,Communication Services,Internet Content & Information
32,Bank of America,BAC,Financial Services,Banks - Diversified
33,Target,TGT,Consumer Defensive,Discount Stores
34,Dell Technologies,DELL,Technology,Computer Hardware
35,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products
36,Citigroup,C,Financial Services,Banks - Diversified
37,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics
38,Pfizer,PFE,Healthcare,Drug Manufacturers - General
39,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail
40,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General
41,FedEx,FDX,Industrials,Integrated Freight & Logistics
42,Humana,HUM,Healthcare,Healthcare Plans
43,Energy Transfer,ET,Energy,Oil & Gas Midstream
44,State Farm Insurance,,,
45,Freddie Mac,FMCC,Financial Services,Mortgage Finance
46,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic
47,Wells Fargo,WFC,Financial Services,Banks - Diversified
48,Walt Disney,DIS,Communication Services,Entertainment
49,ConocoPhillips,COP,Energy,Oil & Gas E&P
50,Tesla,TSLA,Consumer Cyclical,Auto Manufacturers
51,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products
52,General Electric,GE,Industrials,Specialty Industrial Machinery
53,Albertsons,ACI,Consumer Defensive,Grocery Stores
54,MetLife,MET,Financial Services,Insurance - Life
55,Goldman Sachs Group,GS,Financial Services,Capital Markets
56,Sysco,SYY,Consumer Defensive,Food Distribution
57,Raytheon Technologies,RTX,Industrials,Aerospace & Defense
58,Boeing,BA,Industrials,Aerospace & Defense
59,StoneX Group,SNEX,Financial Services,Capital Markets
60,Lockheed Martin,LMT,Industrials,Aerospace & Defense
61,Morgan Stanley,MS,Financial Services,Capital Markets
62,Intel,INTC,Technology,Semiconductors
63,HP,HPQ,Technology,Computer Hardware
64,TD Synnex,SNX,Technology,Electronics & Computer Distribution
65,International Business Machines,IBM,Technology,Information Technology Services
66,HCA Healthcare,HCA,Healthcare,Medical Care Facilities
67,Prudential Financial,PRU,Financial Services,Insurance - Life
68,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery
69,Merck,MRK,Healthcare,Drug Manufacturers - General
70,World Fuel Services,INT,,
71,New York Life Insurance,,,
72,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream
73,AbbVie,ABBV,Healthcare,Drug Manufacturers - General
74,Plains GP Holdings,PAGP,Energy,Oil & Gas Midstream
75,Dow,DOW,Basic Materials,Chemicals
76,American International Group,AIG,Financial Services,Insurance - Diversified
77,American Express,AXP,Financial Services,Credit Services
78,Publix Super Markets,,,
79,Charter Communications,CHTR,Communication Services,Telecom Services
80,Tyson Foods,TSN,Consumer Defensive,Farm Products
81,Deere,DE,Industrials,Farm & Heavy Construction Machinery
82,Cisco Systems,CSCO,Technology,Communication Equipment
83,Nationwide,,,
84,Allstate,ALL,Financial Services,Insurance - Property & Casualty
85,Delta Air Lines,DAL,Industrials,Airlines
86,Liberty Mutual Insurance Group,,,
87,TJX,TJX,Consumer Cyclical,Apparel Retail
88,Progressive,PGR,Financial Services,Insurance - Property & Casualty
89,American Airlines Group,AAL,Industrials,Airlines
90,CHS,,,
91,Performance Food Group,PFGC,Consumer Defensive,Food Distribution
92,PBF Energy,PBF,Energy,Oil & Gas Refining & Marketing
93,Nike,NKE,Consumer Cyclical,Footwear & Accessories
94,Best Buy,BBY,Consumer Cyclical,Specialty Retail
95,Bristol-Myers Squibb,BMY,Healthcare,Drug Manufacturers - General
96,United Airlines Holdings,UAL,Industrials,Airlines
97,Thermo Fisher Scientific,TMO,Healthcare,Diagnostics & Research
98,Qualcomm,QCOM,Technology,Semiconductors
99,Abbott Laboratories,ABT,Healthcare,Medical Devices
100,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic
101,Oracle,ORCL,Technology,Software - Infrastructure
102,Nucor,NUE,Basic Materials,Steel
103,TIAA,,,
104,Massachusetts Mutual Life Insurance,,,
105,General Dynamics,GD,Industrials,Aerospace & Defense
106,Capital One Financial,COF,Financial Services,Credit Services
107,HF Sinclair,DINO,Energy,Oil & Gas Refining & Marketing
108,Dollar General,DG,Consumer Defensive,Discount Stores
109,Arrow Electronics,ARW,Technology,Electronics & Computer Distribution
110,Occidental Petroleum,OXY,Energy,Oil & Gas E&P
111,Northwestern Mutual,,,
112,Travelers,TRV,Financial Services,Insurance - Property & Casualty
113,Northrop Grumman,NOC,Industrials,Aerospace & Defense
114,United Services Automobile Assn.,,,
115,Honeywell International,HON,Industrials,Conglomerates
116,3M,MMM,Industrials,Conglomerates
117,US Foods Holding,USFD,Consumer Defensive,Food Distribution
118,Warner Bros. Discovery,WBD,Communication Services,Entertainment
119,Lennar,LEN,Consumer Cyclical,Residential Construction
120,D.R. Horton,DHI,Consumer Cyclical,Residential Construction
121,Jabil,JBL,Technology,Electronic Components
122,Cheniere Energy,LNG,Energy,Oil & Gas Midstream
123,Broadcom,AVGO,Technology,Semiconductors
124,CarMax,KMX,Consumer Cyclical,Auto & Truck Dealerships
125,Starbucks,SBUX,Consumer Cyclical,Restaurants
126,Molina Healthcare,MOH,Healthcare,Healthcare Plans
127,Uber Technologies,UBER,Technology,Software - Application
128,Philip Morris International,PM,Consumer Defensive,Tobacco
129,Netflix,NFLX,Communication Services,Entertainment
130,NRG Energy,NRG,Utilities,Utilities - Independent Power Producers
131,Mondelez International,MDLZ,Consumer Defensive,Confectioners
132,Danaher,DHR,Healthcare,Diagnostics & Research
133,Salesforce,CRM,Technology,Software - Application
134,Paramount Global,PARA,Communication Services,Entertainment
135,CBRE Group,CBRE,Real Estate,Real Estate Services
136,Micron Technology,MU,Technology,Semiconductors
