Rank,Name,Ticker
1,Walmart,WMT
2,Exxon Mobil,XOM
3,Chevron,CVX
4,Berkshire Hathaway,BRKA
5,Apple,AAPL
6,General Motors,GM
7,Phillips 66,PSX
8,General Electric,GE
9,Ford Motor,F
10,CVS Health,CVS
11,McKesson,MCK
12,AT&T,T
13,Valero Energy,VLO
14,UnitedHealth Group,UNH
15,Verizon,VZ
16,AmerisourceBergen,ABC
17,Fannie Mae,FNMA
18,Costco,COST
19,HP,HPQ
20,Kroger,KR
21,JP Morgan Chase,JPM
22,Express Scripts Holding,ESRX
23,Bank of America Corp.,BAC
24,IBM,IBM
25,Marathon Petroleum,MPC
26,Cardinal Health,CAH
27,Boeing,BA
28,Citigroup,C
29,Amazon.com,AMZN
30,Wells Fargo,WFC
31,Microsoft,MSFT
32,Procter & Gamble,PG
33,Home Depot,HD
34,Archer Daniels Midland,ADM
35,Walgreens,WBA
36,Target,TGT
37,Johnson & Johnson,JNJ
38,Anthem,ANTM
39,MetLife,MET
40,Alphabet,GOOGL
41,State Farm Insurance Cos.,
42,Freddie Mac,FMCC
43,Comcast,CMCSA
44,PepsiCo,PEP
45,United Technologies,UTX
46,AIG,AIG
47,UPS,UPS
48,Dow Chemical,
49,Aetna,AET
50,Lowe’s,LOW
51,ConocoPhillips,COP
52,Intel,INTC
53,Energy Transfer Equity,ET
54,Caterpillar,CAT
55,Prudential Financial,PRU
56,Pfizer,PFE
57,Walt Disney,DIS
58,Humana,HUM
59,Enterprise Products Partners,EPD
60,Cisco Systems,CSCO
61,Sysco,SYY
62,Ingram Micro,
63,Coca-Cola,KO
64,Lockheed Martin,LMT
65,FedEx,FDX
66,Johnson Controls,JCI
67,Plains GP Holdings,PAGP
68,World Fuel Services,INT
69,CHS,
70,American Airlines Group,AAL
71,Merck,MRK
72,Best Buy,BBY
73,Delta Air Lines,DAL
74,Honeywell International,HON
75,HCA Holdings,HCA
76,Goldman Sachs Group,GS
77,Tesoro,TSO
78,Liberty Mutual Insurance Group,
79,United Continental Holdings,UAL
80,New York Life Insurance,
81,Oracle,ORCL
82,Morgan Stanley,MS
83,Tyson Foods,TSN
84,Safeway,
85,Nationwide,
86,Deere,DE
87,DuPont,DD
88,American Express,AXP
89,Allstate,ALL
90,Cigna,CI
91,Mondelez International,MDLZ
92,TIAA-CREF,TRGIX
93,INTL FCStone,SNEX
