Rank,Name,Ticker,Sector,Industry
1,Walmart,WMT,Consumer Defensive,Discount Stores
2,Berkshire Hathaway,BRKA,,
3,Apple,AAPL,Technology,Consumer Electronics
4,Exxon Mobil,XOM,Energy,Oil & Gas Integrated
5,McKesson,MCK,Healthcare,Medical Distribution
6,UnitedHealth Group,UNH,Healthcare,Healthcare Plans
7,CVS Health,CVS,Healthcare,Healthcare Plans
8,General Motors,GM,Consumer Cyclical,Auto Manufacturers
9,AT&T,T,Communication Services,Telecom Services
10,Ford Motor,F,Consumer Cyclical,Auto Manufacturers
11,AmerisourceBergen,ABC,,
12,Amazon.com,AMZN,Consumer Cyclical,Internet Retail
13,General Electric,GE,Industrials,Specialty Industrial Machinery
14,Verizon Communications,VZ,Communication Services,Telecom Services
15,Cardinal Health,CAH,Healthcare,Medical Distribution
16,Costco,COST,Consumer Defensive,Discount Stores
17,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers
18,Kroger,KR,Consumer Defensive,Grocery Stores
19,Chevron,CVX,Energy,Oil & Gas Integrated
20,Fannie Mae,FNMA,Financial Services,Mortgage Finance
21,J.P. Morgan Chase,JPM,Financial Services,Banks - Diversified
22,Express Scripts Holding,ESRX,,
23,Home Depot,HD,Consumer Cyclical,Home Improvement Retail
24,Boeing,BA,Industrials,Aerospace & Defense
25,Wells Fargo,WFC,Financial Services,Banks - Diversified
26,Bank of America Corp.,BAC,Financial Services,Banks - Diversified
27,Alphabet,GOOGL,Communication Services,Internet Content & Information
28,Microsoft,MSFT,Technology,Software - Infrastructure
29,Anthem,ANTM,,
30,Citigroup,C,Financial Services,Banks - Diversified
31,Comcast,CMCSA,Communication Services,Telecom Services
32,IBM,IBM,Technology,Information Technology Services
33,State Farm Insurance Cos.,,,
34,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
35,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General
36,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products
37,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
38,Target,TGT,Consumer Defensive,Discount Stores
39,Freddie Mac,FMCC,Financial Services,Mortgage Finance
40,Lowe’s,LOW,Consumer Cyclical,Home Improvement Retail
41,Dell Technologies,DELL,Technology,Computer Hardware
42,MetLife,MET,Financial Services,Insurance - Life
43,Aetna,AET,,
44,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic
45,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products
46,UPS,UPS,Industrials,Integrated Freight & Logistics
