Rank,Name,Ticker
1,Walmart,WMT
2,Amazon.com,AMZN
3,Exxon Mobil,XOM
4,Apple,AAPL
5,CVS Health,CVS
6,Berkshire Hathaway,BRKA
7,UnitedHealth Group,UNH
8,McKesson,MCK
9,AT&T,T
10,AmerisourceBergen,ABC
11,Alphabet,GOOGL
12,Ford Motor,F
13,Cigna,CI
14,Costco Wholesale,COST
15,Chevron,CVX
16,Cardinal Health,CAH
17,JPMorgan Chase,JPM
18,General Motors,GM
19,Walgreens Boots Alliance,WBA
20,Verizon Communications,VZ
21,Microsoft,MSFT
22,Marathon Petroleum,MPC
23,Kroger,KR
24,Fannie Mae,FNMA
25,Bank of America,BAC
26,Home Depot,HD
27,Phillips 66,PSX
28,Comcast,CMCSA
29,Anthem,ANTM
30,Wells Fargo,WFC
31,Citigroup,C
32,Valero Energy,VLO
33,General Electric,GE
34,Dell Technologies,DELL
35,Johnson & Johnson,JNJ
36,State Farm Insurance,
37,Target,TGT
38,IBM,IBM
39,Raytheon Technologies,RTX
40,Boeing,BA
41,Freddie Mac,FMCC
42,Centene,CNC
43,United Parcel Service,UPS
44,Lowe's,LOW
45,Intel,INTC
46,Facebook,FB
47,FedEx,FDX
48,MetLife,MET
49,Walt Disney,DIS
50,Procter & Gamble,PG
51,PepsiCo,PEP
52,Humana,HUM
53,Prudential Financial,PRU
54,Archer Daniels Midland,ADM
55,Albertsons,
56,Sysco,SYY
57,Lockheed Martin,LMT
58,HP,HPQ
59,Energy Transfer,ET
60,Goldman Sachs Group,GS
61,Morgan Stanley,MS
62,Caterpillar,CAT
63,Cisco Systems,CSCO
64,Pfizer,PFE
65,HCA Healthcare,HCA
66,AIG,AIG
67,American Express,AXP
68,Delta Air Lines,DAL
69,Merck,MRK
70,American Airlines Group,AAL
71,Charter Communications,CHTR
72,Allstate,ALL
73,New York Life Insurance,
74,Nationwide,
75,Best Buy,BBY
76,United Airlines Holdings,UAL
77,Liberty Mutual Insurance Group,
78,Dow,DOW
