Rank,Name,Ticker,Sector,Industry
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated
3,Apple,AAPL,Technology,Consumer Electronics
4,Berkshire Hathaway,BRKA,,
5,Amazon.com,AMZN,Consumer Cyclical,Internet Retail
6,UnitedHealth Group,UNH,Healthcare,Healthcare Plans
7,McKesson,MCK,Healthcare,Medical Distribution
8,CVS Health,CVS,Healthcare,Healthcare Plans
9,AT&T,T,Communication Services,Telecom Services
10,AmerisourceBergen,ABC,,
11,Chevron,CVX,Energy,Oil & Gas Integrated
12,Ford Motor,F,Consumer Cyclical,Auto Manufacturers
13,General Motors,GM,Consumer Cyclical,Auto Manufacturers
14,Costco Wholesale,COST,Consumer Defensive,Discount Stores
15,Alphabet,GOOGL,Communication Services,Internet Content & Information
16,Cardinal Health,CAH,Healthcare,Medical Distribution
17,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers
18,JPMorgan Chase,JPM,Financial Services,Banks - Diversified
19,Verizon Communications,VZ,Communication Services,Telecom Services
20,Kroger,KR,Consumer Defensive,Grocery Stores
21,General Electric,GE,Industrials,Specialty Industrial Machinery
22,Fannie Mae,FNMA,Financial Services,Mortgage Finance
23,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
24,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
25,Bank of America,BAC,Financial Services,Banks - Diversified
26,Microsoft,MSFT,Technology,Software - Infrastructure
27,Home Depot,HD,Consumer Cyclical,Home Improvement Retail
28,Boeing,BA,Industrials,Aerospace & Defense
29,Wells Fargo,WFC,Financial Services,Banks - Diversified
30,Citigroup,C,Financial Services,Banks - Diversified
31,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
32,Comcast,CMCSA,Communication Services,Telecom Services
33,Anthem,ANTM,,
34,Dell Technologies,DELL,Technology,Computer Hardware
35,DuPont de Nemours,DD,Basic Materials,Specialty Chemicals
36,State Farm Insurance,,,
37,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General
38,IBM,IBM,Technology,Information Technology Services
39,Target,TGT,Consumer Defensive,Discount Stores
40,Freddie Mac,FMCC,Financial Services,Mortgage Finance
41,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics
