Rank,Name,Ticker,Sector,Industry
275,Molson Coors Brewing,TAP,Consumer Defensive,Beverages - Brewers
276,L3 Technologies,LHX,Industrials,Aerospace & Defense
277,Ball,BALL,Consumer Cyclical,Packaging & Containers
278,AutoZone,AZO,Consumer Cyclical,Specialty Retail
279,Murphy USA,MUSA,Consumer Cyclical,Specialty Retail
280,MGM Resorts International,MGM,Consumer Cyclical,Resorts & Casinos
281,Office Depot,ODP,Consumer Cyclical,Specialty Retail
282,Huntsman,HUN,Basic Materials,Chemicals
283,Baxter International,BAX,Healthcare,Medical Instruments & Supplies
284,Norfolk Southern,NSC,Industrials,Railroads
285,salesforce.com,CRM,Technology,Software - Application
286,Laboratory Corp. of America,LH,Healthcare,Diagnostics & Research
287,W.W. Grainger,GWW,Industrials,Industrial Distribution
288,Qurate Retail,QRTEA,Consumer Cyclical,Internet Retail
289,Autoliv,ALV,Consumer Cyclical,Auto Parts
290,Live Nation Entertainment,LYV,Communication Services,Entertainment
291,Xerox,XRX,Technology,Information Technology Services
292,Leidos Holdings,LDOS,Technology,Information Technology Services
293,Corning,GLW,Technology,Electronic Components
294,Lithia Motors,LAD,Consumer Cyclical,Auto & Truck Dealerships
295,Expedia Group,EXPE,Consumer Cyclical,Travel Services
296,Republic Services,RSG,Industrials,Waste Management
297,Jacobs Engineering Group,J,Industrials,Engineering & Construction
298,Sonic Automotive,SAH,Consumer Cyclical,Auto & Truck Dealerships
299,Ally Financial,ALLY,Financial Services,Credit Services
300,LKQ,LKQ,Consumer Cyclical,Auto Parts
301,BorgWarner,BWA,Consumer Cyclical,Auto Parts
302,Fidelity National Financial,FNF,Financial Services,Insurance - Specialty
303,SunTrust Banks,TFC,Financial Services,Banks - Regional
304,IQVIA Holdings,IQV,Healthcare,Diagnostics & Research
305,Reliance Steel & Aluminum,RS,Basic Materials,Steel
306,Nvidia,NVDA,Technology,Semiconductors
307,Voya Financial,VOYA,Financial Services,Financial Conglomerates
308,CenterPoint Energy,CNP,Utilities,Utilities - Regulated Electric
309,eBay,EBAY,Consumer Cyclical,Internet Retail
310,Eastman Chemical,EMN,Basic Materials,Specialty Chemicals
311,American Family Insurance Group,,,
312,Steel Dynamics,STLD,Basic Materials,Steel
313,Pacific Life,,,
314,Chesapeake Energy,CHK,Energy,Oil & Gas E&P
315,Mohawk Industries,MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
316,Quanta Services,PWR,Industrials,Engineering & Construction
317,Advance Auto Parts,AAP,Consumer Cyclical,Specialty Retail
318,Owens & Minor,OMI,Healthcare,Medical Distribution
319,United Natural Foods,UNFI,Consumer Defensive,Food Distribution
320,Tenneco,,,
321,Conagra Brands,CAG,Consumer Defensive,Packaged Foods
322,GameStop,GME,Consumer Cyclical,Specialty Retail
323,Hormel Foods,HRL,Consumer Defensive,Packaged Foods
324,Hilton Worldwide Holdings,HLT,Consumer Cyclical,Lodging
325,Frontier Communications,FYBR,Communication Services,Telecom Services
326,Fidelity National Information Services,FIS,Technology,Information Technology Services
327,Public Service Enterprise Group,PEG,Utilities,Utilities - Regulated Electric
328,Boston Scientific,BSX,Healthcare,Medical Devices
329,O’Reilly Automotive,ORLY,Consumer Cyclical,Specialty Retail
330,Charles Schwab,SCHW,Financial Services,Capital Markets
331,Global Partners,GLP,Energy,Oil & Gas Midstream
332,PVH,PVH,Consumer Cyclical,Apparel Manufacturing
333,Avis Budget Group,CAR,Industrials,Rental & Leasing Services
334,Targa Resources,TRGP,Energy,Oil & Gas Midstream
335,Hertz Global Holdings,HTZ,Industrials,Rental & Leasing Services
336,Calpine,,,
337,Mutual of Omaha Insurance,,,
338,Crown Holdings,CCK,Consumer Cyclical,Packaging & Containers
339,Peter Kiewit Sons’,,,
340,Dick’s Sporting Goods,DKS,Consumer Cyclical,Specialty Retail
341,PulteGroup,PHM,Consumer Cyclical,Residential Construction
342,Navistar International,NAV,,
343,Thrivent Financial for Lutherans,,,
344,DCP Midstream,DCP,,
345,Air Products & Chemicals,APD,Basic Materials,Specialty Chemicals
346,Veritiv,VRTV,,
347,AGCO,AGCO,Industrials,Farm & Heavy Construction Machinery
348,Genworth Financial,GNW,Financial Services,Insurance - Life
349,Univar,UNVR,,
350,News Corp.,NWSA,Communication Services,Entertainment
351,SpartanNash,SPTN,Consumer Defensive,Food Distribution
352,Westlake Chemical,WLK,Basic Materials,Specialty Chemicals
353,Williams,WMB,Energy,Oil & Gas Midstream
354,Lam Research,LRCX,Technology,Semiconductor Equipment & Materials
355,Alaska Air Group,ALK,Industrials,Airlines
356,Jones Lang LaSalle,JLL,Real Estate,Real Estate Services
357,Anixter International,AXE,,
358,Campbell Soup,CPB,Consumer Defensive,Packaged Foods
359,Interpublic Group,IPG,Communication Services,Advertising Agencies
360,Dover,DOV,Industrials,Specialty Industrial Machinery
361,Zimmer Biomet Holdings,ZBH,Healthcare,Medical Devices
362,Dean Foods,DFODQ,,
363,Foot Locker,FL,Consumer Cyclical,Apparel Retail
364,Eversource Energy,ES,Utilities,Utilities - Regulated Electric
365,Alliance Data Systems,BFH,Financial Services,Credit Services
366,Fifth Third Bancorp,FITB,Financial Services,Banks - Regional
367,Quest Diagnostics,DGX,Healthcare,Diagnostics & Research
368,EMCOR Group,EME,Industrials,Engineering & Construction
369,W.R. Berkley,WRB,Financial Services,Insurance - Property & Casualty
370,WESCO International,WCC,Industrials,Industrial Distribution
371,Coty,COTY,Consumer Defensive,Household & Personal Products
372,WEC Energy Group,WEC,Utilities,Utilities - Regulated Electric
373,Masco,MAS,Industrials,Building Products & Equipment
374,DXC Technology,DXC,Technology,Information Technology Services
375,Auto-Owners Insurance,,,
376,Jones Financial (Edward Jones),,,
377,Liberty Media,LSXMA,Communication Services,Broadcasting
378,Erie Insurance Group,,,
379,Hershey,HSY,Consumer Defensive,Confectioners
380,PPL,PPL,Utilities,Utilities - Regulated Electric
381,Huntington Ingalls Industries,HII,Industrials,Aerospace & Defense
382,Mosaic,MOS,Basic Materials,Agricultural Inputs
383,J.M. Smucker,SJM,Consumer Defensive,Packaged Foods
384,Delek US Holdings,DK,Energy,Oil & Gas Refining & Marketing
385,Newmont Mining,NEM,Basic Materials,Gold
386,Constellation Brands,STZ,Consumer Defensive,Beverages - Wineries & Distilleries
387,Ryder System,R,Industrials,Rental & Leasing Services
388,National Oilwell Varco,NOV,Energy,Oil & Gas Equipment & Services
389,Adobe Systems,ADBE,Technology,Software - Infrastructure
390,LifePoint Health,LPNT,,
391,Tractor Supply,TSCO,Consumer Cyclical,Specialty Retail
392,Thor Industries,THO,Consumer Cyclical,Recreational Vehicles
393,Dana,DAN,Consumer Cyclical,Auto Parts
394,Weyerhaeuser,WY,Real Estate,REIT - Specialty
395,J.B. Hunt Transport Services,JBHT,Industrials,Integrated Freight & Logistics
396,Darden Restaurants,DRI,Consumer Cyclical,Restaurants
397,Yum China Holdings,YUMC,Consumer Cyclical,Restaurants
398,Blackstone Group,BX,Financial Services,Asset Management
399,Berry Global Group,BERY,Consumer Cyclical,Packaging & Containers
400,Builders FirstSource,BLDR,Industrials,Building Products & Equipment
401,Activision Blizzard,ATVI,,
402,JetBlue Airways,JBLU,Industrials,Airlines
403,Amphenol,APH,Technology,Electronic Components
404,A-Mark Precious Metals,AMRK,Financial Services,Capital Markets
405,Spirit AeroSystems Holdings,SPR,Industrials,Aerospace & Defense
406,R.R. Donnelley & Sons,RRD,,
407,Harris,LHX,Industrials,Aerospace & Defense
408,Expeditors Intl. of Washington,EXPD,Industrials,Integrated Freight & Logistics
409,Discovery,DISCA,,
410,Owens-Illinois,OI,Consumer Cyclical,Packaging & Containers
411,Sanmina,SANM,Technology,Electronic Components
412,KeyCorp,KEY,Financial Services,Banks - Regional
413,American Financial Group,AFG,Financial Services,Insurance - Property & Casualty
414,Oshkosh,OSK,Industrials,Farm & Heavy Construction Machinery
415,Rockwell Collins,,,
416,Kindred Healthcare,KND,,
417,Insight Enterprises,NSIT,Technology,Electronics & Computer Distribution
418,Dr Pepper Snapple Group,,,
419,American Tower,AMT,Real Estate,REIT - Specialty
420,Fortive,FTV,Technology,Scientific & Technical Instruments
421,Ralph Lauren,RL,Consumer Cyclical,Apparel Manufacturing
422,Spectrum Brands Holdings,SPB,Consumer Defensive,Household & Personal Products
423,Ascena Retail Group,ASNA,,
424,United Rentals,URI,Industrials,Rental & Leasing Services
425,Casey’s General Stores,CASY,Consumer Cyclical,Specialty Retail
426,Graybar Electric,,,
427,Avery Dennison,AVY,Consumer Cyclical,Packaging & Containers
428,MasTec,MTZ,Industrials,Engineering & Construction
429,CMS Energy,CMS,Utilities,Utilities - Regulated Electric
430,HD Supply Holdings,HDS,,
431,Raymond James Financial,RJF,Financial Services,Capital Markets
432,NCR,NCR,,
433,Hanesbrands,HBI,Consumer Cyclical,Apparel Manufacturing
434,Asbury Automotive Group,ABG,Consumer Cyclical,Auto & Truck Dealerships
435,Citizens Financial Group,CFG,Financial Services,Banks - Regional
436,Packaging Corp. of America,PKG,Consumer Cyclical,Packaging & Containers
437,Alleghany,Y,,
438,Apache,APA,Energy,Oil & Gas E&P
439,Dillard’s,DDS,Consumer Cyclical,Department Stores
440,Assurant,AIZ,Financial Services,Insurance - Specialty
441,Franklin Resources,BEN,Financial Services,Asset Management
442,Owens Corning,OC,Industrials,Building Products & Equipment
443,Motorola Solutions,MSI,Technology,Communication Equipment
444,NVR,NVR,Consumer Cyclical,Residential Construction
445,Rockwell Automation,ROK,Industrials,Specialty Industrial Machinery
446,TreeHouse Foods,THS,Consumer Defensive,Packaged Foods
447,Wynn Resorts,WYNN,Consumer Cyclical,Resorts & Casinos
448,Olin,OLN,Basic Materials,Specialty Chemicals
