Rank,Name,Ticker,Sector,Industry
1,Walmart,WMT,Consumer Defensive,Discount Stores
2,Amazon.com,AMZN,Consumer Cyclical,Internet Retail
3,Apple,AAPL,Technology,Consumer Electronics
4,CVS Health,CVS,Healthcare,Healthcare Plans
5,UnitedHealth Group,UNH,Healthcare,Healthcare Plans
6,Exxon Mobil,XOM,Energy,Oil & Gas Integrated
7,Berkshire Hathaway,BRKA,,
8,Alphabet,GOOGL,Communication Services,Internet Content & Information
9,McKesson,MCK,Healthcare,Medical Distribution
10,AmerisourceBergen,ABC,,
11,Costco Wholesale,COST,Consumer Defensive,Discount Stores
12,Cigna,CI,Healthcare,Healthcare Plans
13,AT&T,T,Communication Services,Telecom Services
14,Microsoft,MSFT,Technology,Software - Infrastructure
15,Cardinal Health,CAH,Healthcare,Medical Distribution
16,Chevron,CVX,Energy,Oil & Gas Integrated
17,Home Depot,HD,Consumer Cyclical,Home Improvement Retail
18,Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers
19,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
20,Anthem,ANTM,,
21,Kroger,KR,Consumer Defensive,Grocery Stores
22,Ford Motor,F,Consumer Cyclical,Auto Manufacturers
23,Verizon Communications,VZ,Communication Services,Telecom Services
24,JPMorgan Chase,JPM,Financial Services,Banks - Diversified
25,General Motors,GM,Consumer Cyclical,Auto Manufacturers
26,Centene,CNC,Healthcare,Healthcare Plans
27,Meta Platforms,META,Communication Services,Internet Content & Information
28,Comcast,CMCSA,Communication Services,Telecom Services
29,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
30,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
31,Dell Technologies,DELL,Technology,Computer Hardware
32,Target,TGT,Consumer Defensive,Discount Stores
33,Fannie Mae,FNMA,Financial Services,Mortgage Finance
34,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics
35,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail
36,Bank of America,BAC,Financial Services,Banks - Diversified
37,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General
38,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products
39,FedEx,FDX,Industrials,Integrated Freight & Logistics
40,Humana,HUM,Healthcare,Healthcare Plans
41,Wells Fargo,WFC,Financial Services,Banks - Diversified
42,State Farm Insurance,,,
43,Pfizer,PFE,Healthcare,Drug Manufacturers - General
44,Citigroup,C,Financial Services,Banks - Diversified
45,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic
46,Intel,INTC,Technology,Semiconductors
47,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products
48,General Electric,GE,Industrials,Specialty Industrial Machinery
49,International Business Machines,IBM,Technology,Information Technology Services
50,MetLife,MET,Financial Services,Insurance - Life
51,Prudential Financial,PRU,Financial Services,Insurance - Life
52,Albertsons,,,
53,Walt Disney,DIS,Communication Services,Entertainment
54,Energy Transfer,ET,Energy,Oil & Gas Midstream
55,Lockheed Martin,LMT,Industrials,Aerospace & Defense
56,Freddie Mac,FMCC,Financial Services,Mortgage Finance
57,Goldman Sachs Group,GS,Financial Services,Capital Markets
58,Raytheon Technologies,RTX,Industrials,Aerospace & Defense
59,HP,HPQ,Technology,Computer Hardware
60,Boeing,BA,Industrials,Aerospace & Defense
61,Morgan Stanley,MS,Financial Services,Capital Markets
62,HCA Healthcare,HCA,Healthcare,Medical Care Facilities
63,AbbVie,ABBV,Healthcare,Drug Manufacturers - General
64,Dow,DOW,Basic Materials,Chemicals
65,Tesla,TSLA,Consumer Cyclical,Auto Manufacturers
66,Allstate,ALL,Financial Services,Insurance - Property & Casualty
67,American International Group,AIG,Financial Services,Insurance - Diversified
68,Best Buy,BBY,Consumer Cyclical,Specialty Retail
69,Charter Communications,CHTR,Communication Services,Telecom Services
70,Sysco,SYY,Consumer Defensive,Food Distribution
71,Merck,MRK,Healthcare,Drug Manufacturers - General
72,New York Life Insurance,,,
73,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery
74,Cisco Systems,CSCO,Technology,Communication Equipment
75,TJX,TJX,Consumer Cyclical,Apparel Retail
76,Publix Super Markets,,,
77,ConocoPhillips,COP,Energy,Oil & Gas E&P
78,Liberty Mutual Insurance Group,,,
79,Progressive,PGR,Financial Services,Insurance - Property & Casualty
80,Nationwide,,,
81,Tyson Foods,TSN,Consumer Defensive,Farm Products
82,Bristol-Myers Squibb,BMY,Healthcare,Drug Manufacturers - General
83,Nike,NKE,Consumer Cyclical,Footwear & Accessories
84,Deere,DE,Industrials,Farm & Heavy Construction Machinery
85,American Express,AXP,Financial Services,Credit Services
86,Abbott Laboratories,ABT,Healthcare,Medical Devices
87,StoneX Group,SNEX,Financial Services,Capital Markets
88,Plains GP Holdings,PAGP,Energy,Oil & Gas Midstream
89,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream
90,TIAA,,,
91,Oracle,ORCL,Technology,Software - Infrastructure
92,Thermo Fisher Scientific,TMO,Healthcare,Diagnostics & Research
93,Coca-Cola,KO,Consumer Defensive,Beverages - Non-Alcoholic
94,General Dynamics,GD,Industrials,Aerospace & Defense
95,CHS,,,
96,United Services Automobile Assn.,,,
97,Northwestern Mutual,,,
98,Nucor,NUE,Basic Materials,Steel
99,Exelon,EXC,Utilities,Utilities - Regulated Electric
100,Massachusetts Mutual Life Insurance,,,
101,Northrop Grumman,NOC,Industrials,Aerospace & Defense
102,3M,MMM,Industrials,Conglomerates
103,Travelers,TRV,Financial Services,Insurance - Property & Casualty
104,Arrow Electronics,ARW,Technology,Electronics & Computer Distribution
105,Honeywell International,HON,Industrials,Conglomerates
106,Dollar General,DG,Consumer Defensive,Discount Stores
107,Qualcomm,QCOM,Technology,Semiconductors
108,Capital One Financial,COF,Financial Services,Credit Services
109,TD Synnex,SNX,Technology,Electronics & Computer Distribution
110,Philip Morris International,PM,Consumer Defensive,Tobacco
111,World Fuel Services,INT,,
112,Performance Food Group,PFGC,Consumer Defensive,Food Distribution
113,Delta Air Lines,DAL,Industrials,Airlines
114,American Airlines Group,AAL,Industrials,Airlines
115,Netflix,NFLX,Communication Services,Entertainment
116,Paramount Global,PARA,Communication Services,Entertainment
117,US Foods Holding,USFD,Consumer Defensive,Food Distribution
118,Danaher,DHR,Healthcare,Diagnostics & Research
119,Jabil,JBL,Technology,Electronic Components
120,Starbucks,SBUX,Consumer Cyclical,Restaurants
121,Mondelez International,MDLZ,Consumer Defensive,Confectioners
122,Eli Lilly,LLY,Healthcare,Drug Manufacturers - General
123,Hewlett Packard Enterprise,HPE,Technology,Communication Equipment
124,D.R. Horton,DHI,Consumer Cyclical,Residential Construction
125,Molina Healthcare,MOH,Healthcare,Healthcare Plans
126,CBRE Group,CBRE,Real Estate,Real Estate Services
127,Micron Technology,MU,Technology,Semiconductors
128,Broadcom,AVGO,Technology,Semiconductors
129,Gilead Sciences,GILD,Healthcare,Drug Manufacturers - General
130,PBF Energy,PBF,Energy,Oil & Gas Refining & Marketing
131,Lennar,LEN,Consumer Cyclical,Residential Construction
132,United Natural Foods,UNFI,Consumer Defensive,Food Distribution
133,NRG Energy,NRG,Utilities,Utilities - Independent Power Producers
134,Nvidia,NVDA,Technology,Semiconductors
135,Occidental Petroleum,OXY,Energy,Oil & Gas E&P
136,Salesforce,CRM,Technology,Software - Application
137,Dollar Tree,DLTR,Consumer Defensive,Discount Stores
