Rank,Name,Ticker,Sector,Industry
1,Wal-Mart Stores,WMT,Consumer Defensive,Discount Stores
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated
3,Chevron,CVX,Energy,Oil & Gas Integrated
4,Berkshire Hathaway,BRKA,,
5,Apple,AAPL,Technology,Consumer Electronics
6,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
7,General Motors,GM,Consumer Cyclical,Auto Manufacturers
8,Ford Motor,F,Consumer Cyclical,Auto Manufacturers
9,General Electric,GE,Industrials,Specialty Industrial Machinery
10,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
11,AT&T,T,Communication Services,Telecom Services
12,CVS Caremark,CVS,Healthcare,Healthcare Plans
13,Fannie Mae,FNMA,Financial Services,Mortgage Finance
14,UnitedHealth Group,UNH,Healthcare,Healthcare Plans
15,McKesson,MCK,Healthcare,Medical Distribution
16,Verizon Communications,VZ,Communication Services,Telecom Services
17,Hewlett-Packard,HPE,Technology,Communication Equipment
18,J.P. Morgan Chase & Co.,JPM,Financial Services,Banks - Diversified
19,Costco Wholesale,COST,Consumer Defensive,Discount Stores
20,Express Scripts Holding,ESRX,,
21,Bank of America Corp.,BAC,Financial Services,Banks - Diversified
22,Cardinal Health,CAH,Healthcare,Medical Distribution
23,International Business Machines,IBM,Technology,Information Technology Services
24,Kroger,KR,Consumer Defensive,Grocery Stores
25,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
26,Citigroup,C,Financial Services,Banks - Diversified
27,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products
28,AmerisourceBergen,ABC,,
29,Wells Fargo,WFC,Financial Services,Banks - Diversified
30,Boeing,BA,Industrials,Aerospace & Defense
31,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products
32,Freddie Mac,FMCC,Financial Services,Mortgage Finance
33,Home Depot,HD,Consumer Cyclical,Home Improvement Retail
34,Microsoft,MSFT,Technology,Software - Infrastructure
35,Amazon.com,AMZN,Consumer Cyclical,Internet Retail
36,Target,TGT,Consumer Defensive,Discount Stores
37,Walgreen,WBA,Healthcare,Pharmaceutical Retailers
38,WellPoint,ANTM,,
39,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General
40,American International Group,AIG,Financial Services,Insurance - Diversified
41,State Farm Insurance Cos.,,,
42,MetLife,MET,Financial Services,Insurance - Life
43,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic
44,Comcast,CMCSA,Communication Services,Telecom Services
45,United Technologies,UTX,,
46,Google,GOOG,Communication Services,Internet Content & Information
47,ConocoPhillips,COP,Energy,Oil & Gas E&P
48,Dow Chemical,,,
49,Caterpillar,CAT,Industrials,Farm & Heavy Construction Machinery
50,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics
51,Pfizer,PFE,Healthcare,Drug Manufacturers - General
52,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail
53,Intel,INTC,Technology,Semiconductors
54,Energy Transfer Equity,ET,Energy,Oil & Gas Midstream
55,Cisco Systems,CSCO,Technology,Communication Equipment
56,Enterprise Products Partners,EPD,Energy,Oil & Gas Midstream
