Rank,Name,Ticker,Sector,Industry
1,Wal-Mart Stores,WMT,Consumer Defensive,Discount Stores
2,Exxon Mobil,XOM,Energy,Oil & Gas Integrated
3,Chevron,CVX,Energy,Oil & Gas Integrated
4,ConocoPhillips,COP,Energy,Oil & Gas E&P
5,Fannie Mae,FNMA,Financial Services,Mortgage Finance
6,General Electric,GE,Industrials,Specialty Industrial Machinery
7,Berkshire Hathaway,BRKA,,
8,General Motors,GM,Consumer Cyclical,Auto Manufacturers
9,Bank of America Corp.,BAC,Financial Services,Banks - Diversified
10,Ford Motor,F,Consumer Cyclical,Auto Manufacturers
11,Hewlett-Packard,HPE,Technology,Communication Equipment
12,AT&T,T,Communication Services,Telecom Services
13,J.P. Morgan Chase & Co.,JPM,Financial Services,Banks - Diversified
14,Citigroup,C,Financial Services,Banks - Diversified
15,McKesson,MCK,Healthcare,Medical Distribution
16,Verizon Communications,VZ,Communication Services,Telecom Services
17,American International Group,AIG,Financial Services,Insurance - Diversified
18,International Business Machines,IBM,Technology,Information Technology Services
19,Cardinal Health,CAH,Healthcare,Medical Distribution
20,Freddie Mac,FMCC,Financial Services,Mortgage Finance
21,CVS Caremark,CVS,Healthcare,Healthcare Plans
22,UnitedHealth Group,UNH,Healthcare,Healthcare Plans
23,Wells Fargo,WFC,Financial Services,Banks - Diversified
24,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
25,Kroger,KR,Consumer Defensive,Grocery Stores
26,Procter & Gamble,PG,Consumer Defensive,Household & Personal Products
27,AmerisourceBergen,ABC,,
28,Costco Wholesale,COST,Consumer Defensive,Discount Stores
29,Marathon Oil,MRO,Energy,Oil & Gas E&P
30,Home Depot,HD,Consumer Cyclical,Home Improvement Retail
31,Pfizer,PFE,Healthcare,Drug Manufacturers - General
32,Walgreen,WBA,Healthcare,Pharmaceutical Retailers
33,Target,TGT,Consumer Defensive,Discount Stores
34,Medco Health Solutions,MHS,,
35,Apple,AAPL,Technology,Consumer Electronics
36,Boeing,BA,Industrials,Aerospace & Defense
37,State Farm Insurance Cos.,,,
38,Microsoft,MSFT,Technology,Software - Infrastructure
39,Archer Daniels Midland,ADM,Consumer Defensive,Farm Products
40,Johnson & Johnson,JNJ,Healthcare,Drug Manufacturers - General
41,Dell,DELL,Technology,Computer Hardware
42,WellPoint,ANTM,,
43,PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic
44,United Technologies,UTX,,
45,Dow Chemical,,,
46,MetLife,MET,Financial Services,Insurance - Life
47,Best Buy,BBY,Consumer Cyclical,Specialty Retail
48,United Parcel Service,UPS,Industrials,Integrated Freight & Logistics
49,Kraft Foods,KHC,Consumer Defensive,Packaged Foods
50,Lowe's,LOW,Consumer Cyclical,Home Improvement Retail
51,INTL FCStone,SNEX,Financial Services,Capital Markets
52,Lockheed Martin,LMT,Industrials,Aerospace & Defense
53,Merck,MRK,Healthcare,Drug Manufacturers - General
54,Goldman Sachs Group,GS,Financial Services,Capital Markets
55,Express Scripts,,,
56,Intel,INTC,Technology,Semiconductors
57,Sears Holdings,SHLDQ,,
